DOI for Zotero,DOI for Zotero-formula,id,authorships.author.display_name,authorships.author.orcid,best_oa_location.license,display_name,doi,is_retracted,language,open_access.is_oa,publication_date,type
10.1016/j.dib.2019.103898,10.1016/j.dib.2019.103898,https://openalex.org/W2928418126,Damien Beillouin|Tamara Ben‐Ari|David Makowski,https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0001-7157-7905|https://orcid.org/0000-0001-6385-3703,cc-by,A dataset of meta-analyses on crop diversification at the global scale,https://doi.org/10.1016/j.dib.2019.103898,FALSE,en,TRUE,04/04/2019,article
10.5281/zenodo.4088188,10.5281/zenodo.4088188,https://openalex.org/W4288375788,Damien Beillouin|Tamara Ben‐Ari|David Makowski,https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0001-7157-7905|https://orcid.org/0000-0001-6385-3703,cc-by,A dataset of meta-analyses on crop diversification at the global scale,https://doi.org/10.5281/zenodo.4088188,FALSE,en,TRUE,04/04/2019,article
10.1038/s41597-021-01000-y,10.1038/s41597-021-01000-y,https://openalex.org/W3192787264,Sarah K. Jones|Andrea C. Sánchez|Stella D. Juventia|Natalia Estrada-Carmona,https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0003-4549-6970|https://orcid.org/0000-0003-4393-624X|https://orcid.org/0000-0003-4329-5470,cc-by,A global database of diversified farming effects on biodiversity and yield,https://doi.org/10.1038/s41597-021-01000-y,FALSE,en,TRUE,10/08/2021,article
10.7910/dvn/xidi1x,10.7910/dvn/xidi1x,https://openalex.org/W4398949352,Sarah K. Jones|Andrea C. Sánchez|Stella D. Juventia|Natalia Estrada-Carmona,https://orcid.org/0000-0002-9422-5563|https://orcid.org/0000-0003-4549-6970|https://orcid.org/0000-0003-4393-624X|https://orcid.org/0000-0003-4329-5470,cc-by,A global database of diversified farming effects on biodiversity and yield,https://doi.org/10.7910/dvn/xidi1x,FALSE,en,TRUE,25/02/2021,dataset
10.1038/s41597-025-05976-9,10.1038/s41597-025-05976-9,https://openalex.org/W4415648821,Cécile Bessou|Damien Beillouin|Alexis Thoumazeau|Lydie Chapuis‐Lardy|Tiphaine Chevallier|Julien Demenois|Paul N. Nelson,https://orcid.org/0000-0001-6686-8468|https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0003-0758-139X|https://orcid.org/0000-0003-0393-3239|https://orcid.org/0000-0001-8285-3856|https://orcid.org/0000-0002-2271-8465|https://orcid.org/0000-0002-0615-6407,cc-by,A global database on land use and management change effects on soil KMnO4-oxidisable organic carbon (POXC),https://doi.org/10.1038/s41597-025-05976-9,FALSE,en,TRUE,27/10/2025,article
10.1016/j.dib.2023.109555,10.1016/j.dib.2023.109555,https://openalex.org/W4386569984,Jonathan Bonfanti|Joseph Langridge|Damien Beillouin,https://orcid.org/0000-0003-0049-4410|https://orcid.org/0000-0002-9427-439X|https://orcid.org/0000-0003-2014-3482,cc-by,A global database to catalogue the impacts of agricultural management practices on terrestrial biodiversity,https://doi.org/10.1016/j.dib.2023.109555,FALSE,en,TRUE,09/09/2023,article
10.1038/s41467-023-39338-z,10.1038/s41467-023-39338-z,https://openalex.org/W4381715320,Damien Beillouin|Marc Corbeels|Julien Demenois|David Berre|Annie Boyer|Abigaïl Fallot|Frédéric Feder|Rémi Cardinael,https://orcid.org/0000-0003-2014-3482|https://orcid.org/0000-0002-8084-9287|https://orcid.org/0000-0002-2271-8465|https://orcid.org/0000-0001-8494-9966|https://orcid.org/0000-0001-7167-9725|https://orcid.org/0000-0002-7526-6917|https://orcid.org/0000-0001-8434-5193|https://orcid.org/0000-0002-9924-3269,cc-by,A global meta-analysis of soil organic carbon in the Anthropocene,https://doi.org/10.1038/s41467-023-39338-z,FALSE,en,TRUE,22/06/2023,review
10.3389/fsufs.2020.00013,10.3389/fsufs.2020.00013,https://openalex.org/W3011574560,Daniel McGonigle|Giulia Rota Nodari|Robyn L. Phillips|Ermias Aynekulu|Natalia Estrada-Carmona|Sarah K. Jones|Izabella Koziell|Eike Luedeling|Roseline Remans|Keith Shepherd|D. Wiberg|Cory Whitney|Wei Zhang,|https://orcid.org/0000-0002-6467-0228||https://orcid.org/0000-0002-1955-6995|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0002-9422-5563||https://orcid.org/0000-0002-7316-3631|https://orcid.org/0000-0003-3659-8529|https://orcid.org/0000-0001-7144-3915|https://orcid.org/0000-0001-9515-1538|https://orcid.org/0000-0003-4988-4583|https://orcid.org/0000-0002-1174-7084,cc-by,A Knowledge Brokering Framework for Integrated Landscape Management,https://doi.org/10.3389/fsufs.2020.00013,FALSE,en,TRUE,10/03/2020,article
10.1016/j.oneear.2019.10.017,10.1016/j.oneear.2019.10.017,https://openalex.org/W2991600834,Todd S. Rosenstock|Ian K. Dawson|Ermias Aynekulu|Susan Chomba|Ann Degrande|Kimberly Fornace|Ramni Jamnadass|Anthony A. Kimaro|Roeland Kindt|Christine Lamanna|Maimbo Malesu|Kai Mausch|Stepha McMullin|Peninah Murage|Nictor Namoi|Mary Njenga|Isaac Nyoka|Ana Maria Paez Valencia|Phosiso Sola|Keith Shepherd|Peter Steward,https://orcid.org/0000-0002-1958-9500|https://orcid.org/0000-0003-4245-6973|https://orcid.org/0000-0002-1955-6995|https://orcid.org/0000-0001-6030-4506|https://orcid.org/0000-0001-5376-0300|https://orcid.org/0000-0002-5484-241X|https://orcid.org/0000-0003-2416-8361|https://orcid.org/0000-0003-1197-7530|https://orcid.org/0000-0002-7672-0712|https://orcid.org/0000-0002-6773-7352|https://orcid.org/0000-0002-2297-4303|https://orcid.org/0000-0002-2962-7646|https://orcid.org/0000-0002-0976-1880|https://orcid.org/0000-0002-4506-0897|https://orcid.org/0000-0001-5249-2746|https://orcid.org/0000-0002-3208-8815|||https://orcid.org/0000-0002-0727-7040|https://orcid.org/0000-0001-7144-3915|https://orcid.org/0000-0003-3985-4911,,A Planetary Health Perspective on Agroforestry in Sub-Saharan Africa,https://doi.org/10.1016/j.oneear.2019.10.017,FALSE,en,TRUE,01/11/2019,article
10.1038/s43016-024-00926-x,10.1038/s43016-024-00926-x,https://openalex.org/W4392471843,Timo Breure|Natalia Estrada-Carmona|Athanasios Petsakos|Elisabetta Gotor|Boris Jansen|J.C.J. Groot,https://orcid.org/0000-0001-5695-8064|https://orcid.org/0000-0003-4329-5470|https://orcid.org/0000-0003-0224-4087|https://orcid.org/0000-0003-0533-3077|https://orcid.org/0000-0002-4493-1734|https://orcid.org/0000-0001-6516-5170,cc-by,A systematic review of the methodology of trade-off analysis in agriculture,https://doi.org/10.1038/s43016-024-00926-x,FALSE,en,TRUE,05/03/2024,review
