pid,sid,eid,tid,author,year,title,journal,region,studymode,country,site,livestock_production_system,agroecological_zone,n,technology_type,control_trt,improved_forage,improved_legume,improved_grass,forage_ctrl_cp_hv1,forage_trt_cp_hv1,uom_cp,livestock_ctrl_milk1,livestock_trt_milk1,livestock_ctrl_milk2,livestock_trt_milk2,uom_milk,livestock_ctrl_lwg1,livestock_trt_lwg1,livestock_ctrl_lwg2,livestock_trt_lwg2,uom_lwg,livestock_ctrl_dmi,livestock_trt_dmi,uom_dmi,livestock_ctrl_manure,livestock_trt_manure,uom_manure,livestock_ctrl_n_manure,livestock_trt_n_manure,uom_n_manure,econ_ctrl_rev_s1,econ_trt_rev_s1,uom_rev,usd_exchange_rate
3,1,1,2,"Mosimanyana, B., Kiflewahid, B.",1986,Feeding of crop residues to milking cows in small-scale farms in Botswana,"Proceedings of workshop on Utilization of Agricultural By-Products as Livestock Feeds in Africa. Blantyre, Malawi, September",Southern Africa,Feeding trial,Botswana,Included 4 villages situated between 15-20km from Gaborone,Urban,Tropic - warm / semiarid,9,Improved feeding regime,Sorghum stover,Dual-purpose legume,Lablab purpureus,,,,,1.5,1.7,,,kg/cow/day,,,,,,8.96,8.27,kgDM/animal/day,,,,,,,,,,
12,1,2,3,"Njarui D., Wandera, F., Muinga, R.",2000,Evaluation of selected forage legumes as supplementary feed for Kenya dual-purpose goat in semi-arid region of Eastern Kenya,"KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,"Katumani, Machakos",Other,Tropic - warm / subhumid,4,Improved feeding regime,"Natural pasture (rhodes, star, buffel, Themeda triandra)",Dual-purpose legume,Lablab purpureus,,,,,,,,,,-7.44,13.39,,,g/day,,,,,,,,,,,,,
51,1,3,3,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,6,Improved feeding regime,Commercial diet  (14.5% CP),Dual-purpose legume,Lablab purpureus,,,,,,,,,,76000,74500,,,g/2months(drywinterseason),,,,,,,,,,,,,
51,1,4,2,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,4,Improved feeding regime,Commercial dairy meal  (15% CP),Dual-purpose legume,Milled lablab purpureus,,,,,10,7,,,l/day,,,,,,,,,,,,,,,,,,
53,1,1,2,"Akinlade J. , Smith  J. W., Raji A., Busari A., Adekunle I., Adewumi  M.",2005,"Effect of Two Cowpea (Vigna unguiculata) Fodder Cultivars as Supplements on Voluntary Intake, Milk Yield and Manure Production of Bunaji Cows",Journal or Agriculture and Rural Development in the Tropics and Subtropics,West Africa,Feeding trial,Nigeria,Ibadan,Mixed Rainfed Humid,Tropic - warm / subhumid,5,Improved feeding regime,Maize stover,Dual-purpose legume,Vigna unguiculata (994-DP),,,,,885.8,1049.9,,,ml/day/animal,,,,,,67.9,83.8,g/kgBW^0.75/day,0.89,1.14,kg/D/day,1.39,1.51,%,,,,
53,1,1,3,"Akinlade J. , Smith  J. W., Raji A., Busari A., Adekunle I., Adewumi  M.",2005,"Effect of Two Cowpea (Vigna unguiculata) Fodder Cultivars as Supplements on Voluntary Intake, Milk Yield and Manure Production of Bunaji Cows",Journal or Agriculture and Rural Development in the Tropics and Subtropics,West Africa,Feeding trial,Nigeria,Ibadan,Mixed Rainfed Humid,Tropic - warm / subhumid,5,Improved feeding regime,Maize stover,Dual-purpose legume,Vigna unguiculata (IT-716),,,,,885.8,1377.8,,,ml/day/animal,,,,,,67.9,76,g/kgBW^0.75/day,0.89,0.83,kg/D/day,1.39,1.53,%,,,,
61,1,1,2,"Karachi, M., Zengo, M.",1998,"Legume forages from pigeon pea, leucaena and sesbania as supplements to natural pastures for goat production in western Tanzania",Agroforestry Systems,East Africa,Feeding trial,Tanzania,Tabora region,Mixed Rainfed Arid,Tropic - cool / subhumid,8,Improved feeding regime,Natural grasses (grazing),Dual-purpose legume,Cajanus cajan,,,,,,,,,,6.7,25.5,21.6,43.2,g/head/day,0,63.1,g/head/day,,,,,,,,,,
61,1,2,2,"Karachi, M., Zengo, M.",1998,"Legume forages from pigeon pea, leucaena and sesbania as supplements to natural pastures for goat production in western Tanzania",Agroforestry Systems,East Africa,Feeding trial,Tanzania,Tabora region,Mixed Rainfed Arid,Tropic - cool / subhumid,8,Improved feeding regime,Natural grasses (grazing),Dual-purpose legume,Cajanus cajan,,,,,,,,,,13.8,36.1,19.9,31.8,g/head/day,0,86.4,g/head/day,,,,,,,,,,
75,1,1,2,"Ngwa, A., Tawah, C.",2002,Effect of Supplementation with Leguminous Crop Residues or Concentrates on the Voluntary Intake and Performance of Kirdi Sheep,Tropical Animal Health and Production,Central Africa,Feeding trial,Cameroon,Ngaoundere,Urban,Tropic - warm / subhumid,5,Improved feeding regime,Basal diet of rice straw and rice bran,Dual-purpose legume,Arachis pintoi,,,,,,,,,,20,48.93,,,g/day,77.1,93.8,g/kgLW^0.75,,,,,,,,,,
75,1,1,3,"Ngwa, A., Tawah, C.",2002,Effect of Supplementation with Leguminous Crop Residues or Concentrates on the Voluntary Intake and Performance of Kirdi Sheep,Tropical Animal Health and Production,Central Africa,Feeding trial,Cameroon,Ngaoundere,Urban,Tropic - warm / subhumid,5,Improved feeding regime,Basal diet of rice straw and rice bran,Dual-purpose legume,Vigna unguiculata,,,,,,,,,,20,49.29,,,g/day,77.1,86.2,g/kgLW^0.75,,,,,,,,,,
80,1,1,3,"Nyambati, E., Sollenberger, L., Kunkle, W.",2003,Feed intake and lactation performance of dairy cows offered napier grass supplemented with legume hay,Livestock Production Science,East Africa,Feeding trial,Kenya,Kitale,Mixed Rainfed Temperate,Tropic - warm / subhumid,2,Improved feeding regime,Pennisetum purpureum cv. Bana,Dual-purpose legume,Lablab purpureus L.,,,,,3.62,4.18,,,kgFCM/cow/day,5,12,,,kg/week,108,136,g/kgBW^0.75/day,3.96,4.46,kgDM/day/animal,,,,,,,
