pid,sid,eid,tid,author,year,title,journal,region,studymode,country,site,livestock_production_system,agroecological_zone,n,technology_type,control_trt,improved_forage,improved_legume,improved_grass,management_type,forage_ctrl_dm1_hv1,forage_trt_dm1_hv1,forage_ctrl_dm1_hv2,forage_trt_dm1_hv2,forage_ctrl_dm1_hv3,forage_trt_dm1_hv3,forage_ctrl_dm1_hv4,forage_trt_dm1_hv4,uom_dm,forage_ctrl_cp_hv1,forage_trt_cp_hv1,uom_cp,forage_ctrl_n1,forage_trt_n1,uom_n_forage,econ_ctrl_rev_s1,econ_trt_rev_s1,uom_rev,econ_ctrl_benefit_s1,econ_trt_benefit_s1,econ_ctrl_bc_ratio1,econ_trt_bc_ratio1,uom_benefit,usd_exchange_rate
17,1,2,2,"Masinde, A. A. O, Ojowi, O. M., Mbugua, D.M., Odongo, J. A. and Shisya, M.A.",2000,Effect of organic and inorganic fertilisers and their combination on Napier grass dry matter yields in South West Kenya,"Proceedings of the 2nd Scientific Conference of the Soil Management and Legume Research Network Projects, June 2000, Mombasa, Kenya",East Africa,On-farm trial,Kenya,"Nyamonyo and Bogetaorio, Kisii",Mixed Rainfed Temperate,Tropic - cool / humid,8,Improved management,Pennisetum pupureum,Dual-purpose legume,Lablab purpureus,Pennisetum purpureum,Fertilizer,1.86,2.97,5.34,5.16,7.33,8.34,4.77,6.04,t/ha/harvest,,,,,,,,,,,,,,,
17,1,2,3,"Masinde, A. A. O, Ojowi, O. M., Mbugua, D.M., Odongo, J. A. and Shisya, M.A.",2000,Effect of organic and inorganic fertilisers and their combination on Napier grass dry matter yields in South West Kenya,"Proceedings of the 2nd Scientific Conference of the Soil Management and Legume Research Network Projects, June 2000, Mombasa, Kenya",East Africa,On-farm trial,Kenya,"Nyamonyo and Bogetaorio, Kisii",Mixed Rainfed Temperate,Tropic - cool / humid,8,Improved management,Pennisetum pupureum,Dual-purpose legume,Lablab purpureus,Pennisetum purpureum,Fertilizer,1.86,4.12,5.34,5.42,7.33,8.02,4.77,5.35,t/ha/harvest,,,,,,,,,,,,,,,
17,1,2,4,"Masinde, A. A. O, Ojowi, O. M., Mbugua, D.M., Odongo, J. A. and Shisya, M.A.",2000,Effect of organic and inorganic fertilisers and their combination on Napier grass dry matter yields in South West Kenya,"Proceedings of the 2nd Scientific Conference of the Soil Management and Legume Research Network Projects, June 2000, Mombasa, Kenya",East Africa,On-farm trial,Kenya,"Nyamonyo and Bogetaorio, Kisii",Mixed Rainfed Temperate,Tropic - cool / humid,8,Improved management,Pennisetum pupureum,Dual-purpose legume,Lablab purpureus,Pennisetum purpureum,Fertilizer,1.86,4.08,5.34,4.52,7.33,9.07,4.77,7.45,t/ha/harvest,,,,,,,,,,,,,,,
17,1,2,5,"Masinde, A. A. O, Ojowi, O. M., Mbugua, D.M., Odongo, J. A. and Shisya, M.A.",2000,Effect of organic and inorganic fertilisers and their combination on Napier grass dry matter yields in South West Kenya,"Proceedings of the 2nd Scientific Conference of the Soil Management and Legume Research Network Projects, June 2000, Mombasa, Kenya",East Africa,On-farm trial,Kenya,"Nyamonyo and Bogetaorio, Kisii",Mixed Rainfed Temperate,Tropic - cool / humid,8,Improved management,Pennisetum pupureum,Dual-purpose legume,Lablab purpureus,Pennisetum purpureum,Fertilizer,1.86,4.53,5.34,4.33,7.33,9.4,4.77,6.3,t/ha/harvest,,,,,,,,,,,,,,,
44,1,1,2,"Mugerwa, S., Sara, B., Glorios, H., Nijimbere, A., Kayiwa, S., Zziwa, E., Njarui, D.",2011,A comparative analysis of phosphorus fertilizer regimes on seed production of Lablab in East and Central Africa,International Journal of Agronomy and Agricultural Research,East Africa,On-station trial,"Uganda, Sudan, Burundi",Kampala,Mixed Rainfed Humid,Tropic - warm / humid,3,Improved management,Lablab purpureus without fertilizer application,Dual-purpose legume,Lablab purpureus,,Fertilizer,,,,,,,,,,,,,,,,,,,4009600,4827000,,,GrossnetUSH/ha/yr,2800
44,1,1,3,"Mugerwa, S., Sara, B., Glorios, H., Nijimbere, A., Kayiwa, S., Zziwa, E., Njarui, D.",2011,A comparative analysis of phosphorus fertilizer regimes on seed production of Lablab in East and Central Africa,International Journal of Agronomy and Agricultural Research,East Africa,On-station trial,"Uganda, Sudan, Burundi",Kampala,Mixed Rainfed Humid,Tropic - warm / humid,3,Improved management,Lablab purpureus without fertilizer application,Dual-purpose legume,Lablab purpureus,,Fertilizer,,,,,,,,,,,,,,,,,,,4009600,5279000,,,GrossnetUSH/ha/yr,2800
44,1,1,4,"Mugerwa, S., Sara, B., Glorios, H., Nijimbere, A., Kayiwa, S., Zziwa, E., Njarui, D.",2011,A comparative analysis of phosphorus fertilizer regimes on seed production of Lablab in East and Central Africa,International Journal of Agronomy and Agricultural Research,East Africa,On-station trial,"Uganda, Sudan, Burundi",Kampala,Mixed Rainfed Humid,Tropic - warm / humid,3,Improved management,Lablab purpureus without fertilizer application,Dual-purpose legume,Lablab purpureus,,Fertilizer,,,,,,,,,,,,,,,,,,,4009600,3976000,,,GrossnetUSH/ha/yr,2800
44,1,1,5,"Mugerwa, S., Sara, B., Glorios, H., Nijimbere, A., Kayiwa, S., Zziwa, E., Njarui, D.",2011,A comparative analysis of phosphorus fertilizer regimes on seed production of Lablab in East and Central Africa,International Journal of Agronomy and Agricultural Research,East Africa,On-station trial,"Uganda, Sudan, Burundi",Kampala,Mixed Rainfed Humid,Tropic - warm / humid,3,Improved management,Lablab purpureus without fertilizer application,Dual-purpose legume,Lablab purpureus,,Fertilizer,,,,,,,,,,,,,,,,,,,4009600,4332000,,,GrossnetUSH/ha/yr,2800
44,1,1,6,"Mugerwa, S., Sara, B., Glorios, H., Nijimbere, A., Kayiwa, S., Zziwa, E., Njarui, D.",2011,A comparative analysis of phosphorus fertilizer regimes on seed production of Lablab in East and Central Africa,International Journal of Agronomy and Agricultural Research,East Africa,On-station trial,"Uganda, Sudan, Burundi",Kampala,Mixed Rainfed Humid,Tropic - warm / humid,3,Improved management,Lablab purpureus without fertilizer application,Dual-purpose legume,Lablab purpureus,,Fertilizer,,,,,,,,,,,,,,,,,,,4009600,4496000,,,GrossnetUSH/ha/yr,2800
44,1,1,7,"Mugerwa, S., Sara, B., Glorios, H., Nijimbere, A., Kayiwa, S., Zziwa, E., Njarui, D.",2011,A comparative analysis of phosphorus fertilizer regimes on seed production of Lablab in East and Central Africa,International Journal of Agronomy and Agricultural Research,East Africa,On-station trial,"Uganda, Sudan, Burundi",Kampala,Mixed Rainfed Humid,Tropic - warm / humid,3,Improved management,Lablab purpureus without fertilizer application,Dual-purpose legume,Lablab purpureus,,Fertilizer,,,,,,,,,,,,,,,,,,,4009600,3997600,,,GrossnetUSH/ha/yr,2800
