pid,sid,eid,tid,author,year,title,journal,region,studymode,country,site,livestock_production_system,agroecological_zone,n,technology_type,control_trt,improved_forage,improved_legume,improved_grass,food_crop,forage_ctrl_dm1_hv1,forage_trt_dm1_hv1,uom_dm,forage_ctrl_cp_hv1,forage_trt_cp_hv1,uom_cp,food_ctrl_cr1_s1,food_trt_cr1_s1,cr_1,uom_cr1
31,1,1,2,"Singh, B., Ajeigbe, H., Tarawali, S., Fernandez-Rivera, S., Abubakar, M.",2003,Improving the production and utilization of cowpea as food and fodder,Field Crop Research,West Africa,On-station trial,Nigeria,Kano,Mixed Rainfed Arid,Tropic - warm / semiarid,4,Improved germplasm,Dal Ila (local cowpea variety),Dual-purpose legume,Vigna unguiculata  IT97K-568-19,,Millet,2.249,5.998,t/ha,,,,1.753,2.582,Millet,t/ha/yr
31,1,1,3,"Singh, B., Ajeigbe, H., Tarawali, S., Fernandez-Rivera, S., Abubakar, M.",2003,Improving the production and utilization of cowpea as food and fodder,Field Crop Research,West Africa,On-station trial,Nigeria,Kano,Mixed Rainfed Arid,Tropic - warm / semiarid,4,Improved germplasm,Dal Ila (local cowpea variety),Dual-purpose legume,Vigna unguiculata IT90K-277-2,,Millet,2.249,3.415,t/ha,,,,1.753,2.544,Millet,t/ha/yr
31,1,1,4,"Singh, B., Ajeigbe, H., Tarawali, S., Fernandez-Rivera, S., Abubakar, M.",2003,Improving the production and utilization of cowpea as food and fodder,Field Crop Research,West Africa,On-station trial,Nigeria,Kano,Mixed Rainfed Arid,Tropic - warm / semiarid,4,Improved germplasm,Dal Ila (local cowpea variety),Dual-purpose legume,Vigna unguiculata IT97K-568-18,,Millet,2.249,2.166,t/ha,,,,1.753,2.51,Millet,t/ha/yr
31,1,1,5,"Singh, B., Ajeigbe, H., Tarawali, S., Fernandez-Rivera, S., Abubakar, M.",2003,Improving the production and utilization of cowpea as food and fodder,Field Crop Research,West Africa,On-station trial,Nigeria,Kano,Mixed Rainfed Arid,Tropic - warm / semiarid,4,Improved germplasm,Dal Ila (local cowpea variety),Dual-purpose legume,Vigna unguiculata IT98K-205-9,,Millet,2.249,2.332,t/ha,,,,1.753,2.143,Millet,t/ha/yr
31,1,1,6,"Singh, B., Ajeigbe, H., Tarawali, S., Fernandez-Rivera, S., Abubakar, M.",2003,Improving the production and utilization of cowpea as food and fodder,Field Crop Research,West Africa,On-station trial,Nigeria,Kano,Mixed Rainfed Arid,Tropic - warm / semiarid,4,Improved germplasm,Dal Ila (local cowpea variety),Dual-purpose legume,Vigna unguiculata IT95K-627-34,,Millet,2.249,2.083,t/ha,,,,1.753,2.143,Millet,t/ha/yr
31,1,1,7,"Singh, B., Ajeigbe, H., Tarawali, S., Fernandez-Rivera, S., Abubakar, M.",2003,Improving the production and utilization of cowpea as food and fodder,Field Crop Research,West Africa,On-station trial,Nigeria,Kano,Mixed Rainfed Arid,Tropic - warm / semiarid,4,Improved germplasm,Dal Ila (local cowpea variety),Dual-purpose legume,Vigna unguiculata  IT86D-719,,Millet,2.249,1.208,t/ha,,,,1.753,1.788,Millet,t/ha/yr
7,1,1,2,"Mutimura, M., Everson, T.",2012,On-farm evaluation of improved Brachiaria grasses in low rainfall and aluminium toxicity prone areas of Rwanda,International Journal of Biodiversity and Conservation,East Africa,On-farm trial,Rwanda,Bugesera,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved germplasm,Cenchrus ciliaris (naturalised),Grass,,Brachiaria decumbens (local; indigenous grass),,1.19,5.61,t/ha/yr,5.55,4.92,%ofDM(yr),,,,
7,1,1,3,"Mutimura, M., Everson, T.",2012,On-farm evaluation of improved Brachiaria grasses in low rainfall and aluminium toxicity prone areas of Rwanda,International Journal of Biodiversity and Conservation,East Africa,On-farm trial,Rwanda,Bugesera,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved germplasm,Cenchrus ciliaris (naturalised),Grass,,Brachiaria brizantha cv. Marandu,,1.19,4.58,t/ha/yr,5.55,6.69,%ofDM(yr),,,,
7,1,1,4,"Mutimura, M., Everson, T.",2012,On-farm evaluation of improved Brachiaria grasses in low rainfall and aluminium toxicity prone areas of Rwanda,International Journal of Biodiversity and Conservation,East Africa,On-farm trial,Rwanda,Bugesera,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved germplasm,Cenchrus ciliaris (naturalised),Grass,,Brachiaria brizantha cv. Toledo,,1.19,5.71,t/ha/yr,5.55,7.74,%ofDM(yr),,,,
7,1,1,5,"Mutimura, M., Everson, T.",2012,On-farm evaluation of improved Brachiaria grasses in low rainfall and aluminium toxicity prone areas of Rwanda,International Journal of Biodiversity and Conservation,East Africa,On-farm trial,Rwanda,Bugesera,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved germplasm,Cenchrus ciliaris (naturalised),Grass,,Brachiaria decumbens cv. Basilisk,,1.19,4.79,t/ha/yr,5.55,6.41,%ofDM(yr),,,,
7,1,1,6,"Mutimura, M., Everson, T.",2012,On-farm evaluation of improved Brachiaria grasses in low rainfall and aluminium toxicity prone areas of Rwanda,International Journal of Biodiversity and Conservation,East Africa,On-farm trial,Rwanda,Bugesera,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved germplasm,Cenchrus ciliaris (naturalised),Grass,,Brachiaria hybrid Bro2/0465,,1.19,2.63,t/ha/yr,5.55,5.77,%ofDM(yr),,,,
7,1,1,7,"Mutimura, M., Everson, T.",2012,On-farm evaluation of improved Brachiaria grasses in low rainfall and aluminium toxicity prone areas of Rwanda,International Journal of Biodiversity and Conservation,East Africa,On-farm trial,Rwanda,Bugesera,Mixed Rainfed Humid,Tropic - cool / subhumid,12,Improved germplasm,Cenchrus ciliaris (naturalised),Grass,,Brachiaria hybrid Bro2/1452,,1.19,2.97,t/ha/yr,5.55,4.34,%ofDM(yr),,,,
