Id_article;Id_obs;Authors;Title;DOI;Year_of_publication;Experiment_period;Experiment_year;Country;Continent;Study_site;Latitude;Longitude;Geocoordinates;Climate_zone;Soil_type_WRB_USDA;Soil_texture;Soil_pH;Greenhouse;Organic_ferti;Mineral_ferti;Nitrogen_rate;Fert;Herbicide;Insecticide;Fungicide;Pesticide;Irrigation;Intercropping_design;Intercropping_pattern;AF;Additional_factor;Crop_1_Common_Name;Crop_1_Scientific_Name;Crop_1_Variety;Crop_2_Common_Name;Crop_2_Scientific_Name;Crop_2_Variety;Comb_dur;Comb_gf;Comb_Nf;Comb_met;C1_yield_sole;C1_yield_intercrop;C2_yield_sole;C2_yield_intercropped;Yield_total_intercropping_calc;Yield_unit;Yield_measure;Data_location;LER_crop1;LER_crop2;LER_tot;LER_crop_1_calc;LER_crop_2_calc;LER_tot_calc
1;1;ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN;STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION;10.1111/j.1439-037X.1991.tb00959.x;1991;1987-1988;1987;India;South Asia;Agricultural Experimental Farm of Indian Statistical Institute at Giridih;24.1912233822818;86.3053822105898;Estimated;Cwa;NA;Sandy loam (SL);6.05;NA;NA;yes;60;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Maize;Zea mays L.;NA;Groundnut;Apios americana Medik.;NA;an-per;no-no;no-yes;c4-c3;2.46;2;2.2;0.91;2.91;t/ha;Grain yield;Table 1, table 3;NA;NA;1.22;0.81;0.41;1.23
1;2;ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN;STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION;10.1111/j.1439-037X.1991.tb00959.x;1991;1987-1988;1987;India;South Asia;Agricultural Experimental Farm of Indian Statistical Institute at Giridih;24.1912233822818;86.3053822105898;Estimated;Cwa;NA;Sandy loam (SL);6.05;NA;NA;yes;60;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Maize;Zea mays L.;NA;Cowpea;Vigna unguiculata L. Walp.;NA;an-an;no-no;no-yes;c4-c3;2.46;2.14;0.87;0.33;2.47;t/ha;Grain yield;Table 1, table 3;NA;NA;1.26;0.87;0.38;1.25
1;3;ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN;STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION;10.1111/j.1439-037X.1991.tb00959.x;1991;1987-1988;1987;India;South Asia;Agricultural Experimental Farm of Indian Statistical Institute at Giridih;24.1912233822818;86.3053822105898;Estimated;Cwa;NA;Sandy loam (SL);6.05;NA;NA;yes;60;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Maize;Zea mays L.;NA;Mung bean;Vigna radiata (L.) R. Wilczek;NA;an-an;no-no;no-yes;c4-c3;2.46;2.15;0.66;0.16;2.31;t/ha;Grain yield;Table 1, table 3;NA;NA;1.12;0.87;0.24;1.12
1;4;ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN;STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION;10.1111/j.1439-037X.1991.tb00959.x;1991;1987-1988;1988;India;South Asia;Agricultural Experimental Farm of Indian Statistical Institute at Giridih;24.1912233822818;86.3053822105898;Estimated;Cwa;NA;Sandy loam (SL);6.05;NA;NA;yes;60;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Maize;Zea mays L.;NA;Groundnut;Apios americana Medik.;NA;an-per;no-no;no-yes;c4-c3;2.94;2.83;1.66;0.73;3.56;t/ha;Grain yield;Table 1, table 3;NA;NA;1.44;0.96;0.44;1.4
1;5;ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN;STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION;10.1111/j.1439-037X.1991.tb00959.x;1991;1987-1988;1988;India;South Asia;Agricultural Experimental Farm of Indian Statistical Institute at Giridih;24.1912233822818;86.3053822105898;Estimated;Cwa;NA;Sandy loam (SL);6.05;NA;NA;yes;60;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Maize;Zea mays L.;NA;Cowpea;Vigna unguiculata L. Walp.;NA;an-an;no-no;no-yes;c4-c3;2.94;1.48;0.21;0.57;2.05;t/ha;Grain yield;Table 1, table 3;NA;NA;0.85;0.5;2.71;3.22
1;6;ADHIKARY, S and BAGCHI, DK and GHOSAL, P and BANERJEE, RN and CHATTERJEE, BN;STUDIES ON MAIZE-LEGUME INTERCROPPING AND THEIR RESIDUAL EFFECTS ON SOIL FERTILITY STATUS AND SUCCEEDING CROP IN UPLAND SITUATION;10.1111/j.1439-037X.1991.tb00959.x;1991;1987-1988;1988;India;South Asia;Agricultural Experimental Farm of Indian Statistical Institute at Giridih;24.1912233822818;86.3053822105898;Estimated;Cwa;NA;Sandy loam (SL);6.05;NA;NA;yes;60;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Maize;Zea mays L.;NA;Mung bean;Vigna radiata (L.) R. Wilczek;NA;an-an;no-no;no-yes;c4-c3;2.94;2.25;0.55;0.19;2.44;t/ha;Grain yield;Table 1, table 3;NA;NA;1.19;0.77;0.35;1.11
2;7;Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez;Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba);10.1080/01448765.2019.1616614;2019;2007–2009;2007-2008;Tunisia;Middle East & North Africa;Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE);36.7166667;9.2;Exact;Csa;NA;Clay (C);7.35;no;NA;no;0;NA;no;no;no;no;NA;Additive;Row;no;Faba bean Badi cultivar;Fava bean;Vicia faba L.;Badi;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;0.2;0.34;NA;NA;NA;g/plant;Seed yield;Table 2;NA;NA;NA;1.7;NA;NA
2;8;Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez;Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba);10.1080/01448765.2019.1616614;2019;2007–2009;2007-2008;Tunisia;Middle East & North Africa;Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE);36.7166667;9.2;Exact;Csa;NA;Clay (C);7.35;no;NA;no;0;NA;no;no;no;no;NA;Additive;Row;no;Faba bean Najeh cultivar;Fava bean;Vicia faba L.;Najeh;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;5.7;8.31;NA;NA;NA;g/plant;Seed yield;Table 2;NA;NA;NA;1.46;NA;NA
2;9;Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez;Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba);10.1080/01448765.2019.1616614;2019;2007–2009;2008-2009;Tunisia;Middle East & North Africa;Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE);36.7166667;9.2;Exact;Csa;NA;Clay (C);7.35;no;NA;no;0;NA;no;no;no;no;NA;Additive;Row;no;Faba bean Badi cultivar;Fava bean;Vicia faba L.;Badi;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;0.99;1.89;NA;NA;NA;g/plant;Seed yield;Table 2;NA;NA;NA;1.91;NA;NA
2;10;Abbes, Zouhaier and Trabelsi, Imen and Kharrat, Mohamed and Amri, Moez;Intercropping with fenugreek (Trigonella foenum-graecum) enhanced seed yield and reduced Orobanche foetida infestation in faba bean (Vicia faba);10.1080/01448765.2019.1616614;2019;2007–2009;2008-2009;Tunisia;Middle East & North Africa;Oued Beja experimental station, Beja, Tunisia (36°43ʹN, 9°12ʹE);36.7166667;9.2;Exact;Csa;NA;Clay (C);7.35;no;NA;no;0;NA;no;no;no;no;NA;Additive;Row;no;Faba bean Najeh cultivar;Fava bean;Vicia faba L.;Najeh;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;5.73;8.67;NA;NA;NA;g/plant;Seed yield;Table 2;NA;NA;NA;1.51;NA;NA
