Group of variables;Variable;Definition;Type;Units / categories;Total number (percentage) of available data
General information on the articles;Id_article;Identification number of articles;-;-;2231 (100%)
;Id_obs;Identification number of each observation;-;-;2231 (100%)
;Authors;Authors of publication;-;-;2231 (100%)
;Title;Title of publication;-;-;2231 (100%)
;DOI;Digital object identifier (DOI or ISSN);-;-;2183 (97.8%)
;Year_of_publication;The year of publication;Continuous;-;2231 (100%)
Experimental site soil and climate conditions;Experiment_period;The period over which the experiment was conducted (e.g. 2003-2006);Continuous;-;2180 (97.7%)
;Experiment_year;The year of a specific treatment (e.g. 2005);Continuous;-;2180 (97.7%)
;Country;Country where experiments were carried out;-;-;2231 (100%)
;Continent;Continent where experiments were carried out;-;-;2231 (100%)
;Study_site;Study site where experiments were carried out;-;-;2228 (99.9%)
;Latitude and longitude;Latitude and longitude of experimental site;Continuous;Decimal degrees ;2223 (99.6%)
;Geocoordinates;Indicate whether the latitude and longitude coordinates represent the exact location of the field site or the estimated location based on site name identified in Google Maps;Binary;Exact / estimated;2223 (99.6%)
;Climate_zone;Climate zone according to Koppen Geiger classification;Categorical;From Koppen-Geiger classification;2160 (96.8%)
;Soil_type_WRB_USDA;Soil type;Categorical;From World Reference Base for Soil Resources (WRB) or USDA Soil Taxonomy (USDA);709 (31.8%)
;Soil texture;Soil texture recorded according to the USDA soil texture calculator;Categorical;-;1261 (56.5%)
;Soil_pH;Soil pH provided or the average when there is more than one value;Continuous;-;1378 (61.8%)
Crop management practices;Greenhouse;Greenhouse conditions;Binary;Yes/No;2057 (92.2%)
;Organic_ferti;Use of organic fertilizer (organic-based product, provides nitrogen, fresh prunning material not included);Binary;Yes/No;1535 (68.8%)
;Mineral_ferti;Use of mineral fertilizer (synthetic product);Binary;Yes/No;1998 (89.6%)
;Nitrogen_rate;Nitrogen rate (in Kg N ha-1). In the case of different fertilization for monocrop and intercrop, the value corresponds to the fertilization in the intercrop. In the case of treatments with different fertilization grouped together, the highest fertilization value is represented.;Continuous;-;1795 (80.5%)
;Fert;Indicates whether fertilizers were applied (organic and/or chemical);Binary;Yes/No;1991 (89.2%)
;Herbicide;Use of products to kill weeds;Binary;Yes/No;950 (42.6%)
;Insecticide;Use of products to kill (yes) or control (repel) insects and/or mites ;Categorical;Yes/No/repel;894 (40.1%)
;Fungicide;Use of products to kill (yes) or control (repel) fungus;Categorical;Yes/No/repel;879 (39.4%)
;Pesticide;Indicates whether herbicide, insecticide or fungicide were used. Control products were not considered.;Binary;Yes/No;999 (44.8%)
;Irrigation;Indicates whether irrigation was used;Binary;Yes/No;1301 (58.3%)
Intercropping design descriptors;Intercropping_design;In which design both species were intercropped according to Zustovi et al (2024);Categorical;Replacement, Additive;1915 (85.8%)
;Intercropping_pattern;In which way both species were spatially arranged;Categorical;Strip,  row,  mixed;1792 (80.3%)
;AF;Describes whether the system is agroforestry or non-tree intercropping;Binary;Yes/No;2231 (100%)
;Additional_factor;Additional factor for describing the intercropping;-;-;
Crop variables;Crop_X_Common_Name;Scientific names of intercropped species X;-;From USDA Plants Database or Flora e Funga do Brasil;4462 (100%)
;Crop_X_Scientific_Name;Common names of intercropped species X;-;From USDA Plants Database or Flora e Funga do Brasil;4462 (100%)
;Crop_X_Variety;Variety names of intercropped species X;-;-;305 (6.8%)
;Comb_dur;"Indicates the species life cycle: Systems composed by Annuals (an-an); Systems with Perennials (per-per) and systems with one of each category (an-per or per-an). The value format is ""crop1-crop2"". Obs.: in cases with more than one classification in the USDA database (e.g. biennial), the ‘annual’ category is prioritized.";Categorical;-;2231 (100%)
;Comb_gf;"Indicates the species growth form: Systems composed with trees or shrub trees (yes); Systems with other categories (no). The value format is ""crop1-crop2""";Categorical;-;2231 (100%)
;Comb_Nf;"Indicates the presence of nitrogen fixing species: Systems composed by one or two N-fix species (yes) or none (no). The value format is ""crop1-crop2"".";Categorical;-;2229 (99.9%)
;Comb_met;"Indicates the species metabolic types. Systems composed only by C3 (c3-c3); and systems with C3 and C4 (c3-c4 or c4-c3) or CAM (c3-cam or cam-c3). The value format is ""crop1-crop2"".";Categorical;-;2231 (100%)
Yield variables;Cx_yield_sole;Yield of crop X as sole crop;Continuous;-;3055 (68.5%)
;Cx_yield_intercrop;Yield of crop X as intercropping;Continuous;-;3261 (73.1%)
;Yield_total_intercropping;Total yield of the intercropping system;Continuous;-;1297 (58.1%)
;Yield_unit;Yield unit as provided by authors;Categorical;-;2017 (90.4%)
;Yield_measure;Indicates what type of yield was recorded (e.g. grain yield, dry weight, marketable yield, etc.);Categorical;-;1715 (76.9%)
;Data_location;From which table or figure yield data was extracted;-;-;2231 (100%)
;LER_cropX;Partial Land Equivalent Ratio for crop X as provided by authors;Continuous;-;1748 (39.2%)
;LER_tot;Total Land Equivalent Ratio as provided by authors;Continuous;-;1286 (57.6%)
;LER_cropX_calc;Partial Land Equivalent Ratio for crop X recalculated from yield data;Continuous;-;3032 (68.0%)
;LER_tot_calc;Total Land Equivalent Ratio recalculated from yield data;Continuous;-;1127 (50.5%)
