ref	Subject	Data_source	Year	Site	Coordinates	Climat_Koppen	rainfall_type	Study_type	Crop	CT_type	CA_type1	Herbicide_on_CA	Altitude	Soil_NRCS	Texture	Initial_soil_C	Actual_rainfall	Average_rainfall	Average_Temp	Legume_rotation	Legume_intercropping	Years_CA	Initial_mulch	Mulch_type	Applied_N_CT	Applied_P_CT	Applied_N_CA	Applied_P_CA	Id	Grain_yield_CT	Grain_yield_CA	CA_type	n	CTstdev	lsd	cv	CT_SEM	CT_SED	poidsv	poidsn	logratio	Id1	Applied_N	Applied_P	ordre
1	1	Agbede and Ojeniyi (2009)	2004	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,81	469	475	26,6	N	N	1	0	no mulch	0	0	0	0	1	570	710	NT-M-IR	3	10,34	17,6		5,97	8,44	21,9966	0,6567	0,095383	1-1	0	0	1
1	1	Agbede and Ojeniyi (2009)	2005	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,81	754	600	26,6	N	N	2	0	no mulch	0	0	0	0	2	1550	1560	NT-M-IR	3	86,11	146,67		49,71	70,31	1,9409	0,6567	0,002793	1-2	0	0	2
1	1	Agbede and Ojeniyi (2009)	2006	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,81	410	475	26,6	N	N	3	0	no mulch	0	0	0	0	3	1360	1530	NT-M-IR	3	29,27	49,87		16,9	23,91	14,3560	0,6567	0,051153	1-3	0	0	3
1	2	Agbede and Ojeniyi (2009)	2004	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,76	469	475	26,6	N	N	1	0	no mulch	0	0	0	0	4	530	660	NT-M-IR	3	10,34	17,6		5,97	8,44	19,0137	0,6567	0,095268	1-4	0	0	4
1	2	Agbede and Ojeniyi (2009)	2005	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,76	754	600	26,6	N	N	2	0	no mulch	0	0	0	0	5	1480	1510	NT-M-IR	3	74,06	126,14		42,76	60,47	2,4246	0,6567	0,008715	1-5	0	0	5
1	2	Agbede and Ojeniyi (2009)	2006	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,76	410	475	26,6	N	N	3	0	no mulch	0	0	0	0	6	1280	1450	NT-M-IR	3	29,27	49,87		16,9	23,91	12,7944	0,6567	0,054158	1-6	0	0	6
1	3	Agbede and Ojeniyi (2009)	2004	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,81	469	475	26,6	N	N	1	?	?	0	0	0	0	1	570	750	NT+M-IR	3	10,34	17,6		5,97	8,44	22,9296	0,6567	0,119186	1-1	0	0	7
1	3	Agbede and Ojeniyi (2009)	2005	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,81	754	600	26,6	N	N	2	?	?	0	0	0	0	2	1550	1610	NT+M-IR	3	86,11	146,67		49,71	70,31	2,0017	0,6567	0,016494	1-2	0	0	8
1	3	Agbede and Ojeniyi (2009)	2006	RUGIPO station, Owo, Nigeria	7 °12' N, 5 °35' E	Aw	bimodal	on-station	sorghum	plow	no-tillage	Y	291	Sandy loam	Coarse texture	1,81	410	475	26,6	N	N	3	?	?	0	0	0	0	3	1360	1570	NT+M-IR	3	29,27	49,87		16,9	23,91	14,6820	0,6567	0,062361	1-3	0	0	9
1	4	Agbede and Ojeniyi (2009)	2004	Isuada (Owo), Nigeria	7° 13' N, 5° 32' E	Aw	bimodal	on-farm	sorghum	plow	no-tillage	Y	306	Sandy loam	Coarse texture	1,76	469	475	26,6	N	N	1	?	?	0	0	0	0	4	530	690	NT+M-IR	3	10,34	17,6		5,97	8,44	19,6697	0,6567	0,114573	1-4	0	0	10
1	4	Agbede and Ojeniyi (2009)	2005	Isuada (Owo), Nigeria	7° 13' N, 5° 32' E	Aw	bimodal	on-farm	sorghum	plow	no-tillage	Y	306	Sandy loam	Coarse texture	1,76	754	600	26,6	N	N	2	?	?	0	0	0	0	5	1480	1530	NT+M-IR	3	74,06	126,14		42,76	60,47	2,4558	0,6567	0,014430	1-5	0	0	11
1	4	Agbede and Ojeniyi (2009)	2006	Isuada (Owo), Nigeria	7° 13' N, 5° 32' E	Aw	bimodal	on-farm	sorghum	plow	no-tillage	Y	306	Sandy loam	Coarse texture	1,76	410	475	26,6	N	N	3	?	?	0	0	0	0	6	1280	1480	NT+M-IR	3	29,27	49,87		16,9	23,91	13,0232	0,6567	0,063052	1-6	0	0	12
2	5	Agboola (1981)	1975	University Farm, Ibadan, Nigeria	7°24' N,  3°54' E	Aw	bimodal	on-station	maize	plow	no-tillage	Y	207	Sandy loam	Coarse texture	6,10	?	800	26,3	N	N	1	?	gramineae	120	35	120	35	1	3000	3050	NT+M-IR	4	370,19	544,48		185,09	261,77	0,5298	0,8756	0,007179	2-1	120	35	13
2	5	Agboola (1981)	1976	University Farm, Ibadan, Nigeria	7°24' N,  3°54' E	Aw	bimodal	on-station	maize	plow	no-tillage	Y	207	Sandy loam	Coarse texture	6,10	607	800	26,3	N	N	2	?	gramineae	120	35	120	35	2	2980	3120	NT+M-IR	4	356,04	523,65		178,02	251,76	0,5814	0,8756	0,019938	2-2	120	35	14
2	5	Agboola (1981)	1977	University Farm, Ibadan, Nigeria	7°24' N,  3°54' E	Aw	bimodal	on-station	maize	plow	no-tillage	Y	207	Sandy loam	Coarse texture	6,10	686	800	26,3	N	N	3	?	gramineae	120	35	120	35	3	2970	3220	NT+M-IR	4	376,27	553,41		188,13	266,06	0,5343	0,8756	0,035099	2-3	120	35	15
2	5	Agboola (1981)	1978	University Farm, Ibadan, Nigeria	7°24' N,  3°54' E	Aw	bimodal	on-station	maize	plow	no-tillage	Y	207	Sandy loam	Coarse texture	6,10	1211	800	26,3	N	N	4	?	gramineae	120	35	120	35	4	2900	3480	NT+M-IR	4	323,67	476,05		161,84	228,87	0,7519	0,8756	0,079181	2-4	120	35	16
3	6	Anazodo et al. (1991)	1982	FOC University of Nigeria, Nsukka, Nigeria	7° N, 7° 50' E	Aw	bimodal	on-station	maize	plow	no-tillage	N	411	Loamy sand	Coarse texture	?	1067	1083	24,9	N	N	1	?	gramineae	?	?	?	?	1	2430	530	NT+M-IR	3	270	508,38		155,89	220,46	0,0438	0,6567	-0,661330	3-1	0	0	17
3	6	Anazodo et al. (1991)	1983	FOC University of Nigeria, Nsukka, Nigeria	7° N, 7° 50' E	Aw	bimodal	on-station	maize	plow	no-tillage	N	411	Loamy sand	Coarse texture	?	567	1083	24,9	N	N	2	?	gramineae	?	?	?	?	2	3610	3060	NT+M-IR	3	137,27	258,45		79,25	112,08	3,4421	0,6567	-0,071786	3-2	0	0	18
3	6	Anazodo et al. (1991)	1984	FOC University of Nigeria, Nsukka, Nigeria	7° N, 7° 50' E	Aw	bimodal	on-station	maize	plow	no-tillage	N	411	Loamy sand	Coarse texture	?	1200	1083	24,9	N	N	3	?	gramineae	?	?	?	?	3	5620	1780	NT+M-IR	3	479,67	903,15		276,94	391,65	0,1490	0,6567	-0,499316	3-3	0	0	19
