Short name;Signification
"ref;bibliographic reference number"
"Subject;Set of study units that receive the same treatment over one or more successive years"
"Data_source;Bibliographic reference / data source"
"Year;Year of the observation"
"Site;Site"
"Coordinates;Latitude and longitude"
"Climat_Koppen;Climate classification (Koppen)"
"rainfall_type;Unimodal or bimodal rainfall regimes"
"Study_type;Study type"
"Crop;Observed crop"
"CT_type;Conventional tillage type"
"CA_type1;Conservation agriculture type"
"Herbicide_on_CA;Herbicide or not in conservation agriculture"
"Altitude;Altitude (meters above mean sea level)"
"Soil_NRCS;Soil texture (NRCS taxonomy)"
"Texture;Simplified soil texture"
"Initial_soil_C;Initial soil C (g/kg)"
"Actual_rainfall;Actual rainfall in the cropping season (mm)"
"Average_rainfall;Average rainfall in the cropping season (mm)"
"Average_Temp;Average temperature (?C)"
"Legume_rotation;Legume in the rotation"
"Legume_intercropping;Legume in intercropping"
"Years_CA;Number of years of conservation agriculture"
"Initial_mulch;Initial mulch quantity (kg/ha)"
"Mulch_type;Mulch type"
"Applied_N_CT;Applied N on conventional tillage (kg /ha)"
"Applied_P_CT;Applied P on conventional tillage (kg /ha)"
"Applied_N_CA;Applied N on conservation agriculture (kg /ha)"
"Applied_P_CA;Applied P on conservation agriculture (kg /ha)"
"Id;Identifier of the set of CA plots compared to the same CT control"
"Grain_yield_CT;Grain yield in conventional tillage (kg/ha)"
"Grain_yield_CA;Grain yield in conservation agriculture(kg/ha)"
"CA_type;Treatment on study : conservation agriculture type"
"n;Number of repetitions for computing yields"
"CTstdev;Yield residual standard deviation (CT=CA)"
"lsd;Least significant difference (at 0.05 level)"
"cv;Coefficient of variation (%)"
"CT_SEM;Yield average standard deviation (CT=CA)"
"CT_SED;Standard deviation of the difference between 2 yield means (CT=CA)"
"poidsv;Observations weights (inversely proportional to the log ratio variance)"
"poidsn;Observations weights (proportional to the number of repetitions)"
"logratio;Natural logarithm of CA/CT yield ratio"
"Id1;Concatenation of the variables ref and Id (identifier of an individual study)"
"Applied_N;Applied N in kg/ha (CA = CT)"
"Applied_P;Applied P in kg/ha (CA = CT)"
"ordre;Initial order in the data file"
