fpid,type,search_equations_wos,nb_papers_wos,date_of_search_wos,search_equations_scopus,nb_papers_scopus,date_of_search_scopus,nb_papers_after_merging
Agroforestry systems,Total,NA,NA,NA,NA,NA,NA,NA
Agroforestry systems,Search 1,"Topic: (agroforestry OR agro-forestry OR *silvo-past* OR *silvopast* OR silvoarable OR silvo-arable OR forest-farm* OR food-forest* AND or*agro-silvicult* OR agrosilvicult* OR alley AND crop* OR agri-silvicult* OR agrisilvicult*) AND Topic: (meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",153,28/02/2023,"TITLE-ABS-KEY: (agroforestry OR agro-forestry OR *silvo-past* OR *silvopast* OR silvoarable OR silvo-arable OR forest-farm* OR food-forest* AND or*agro-silvicult* OR agrosilvicult* OR alley AND crop* OR agri-silvicult* OR agrisilvicult*) AND TITLE-ABS-KEY:(meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",149,28/02/2023,175
Agroforestry systems,Search 2,"Topic: (agroforestry OR agro-forestry OR *silvo-past* OR *silvopast* OR silvoarable OR silvo-arable OR forest-farm* OR food-forest* OR agro-silvicult* OR agrosilvicult* OR (alley AND crop*) OR agri-silvicult* OR agrisilvicult*) AND Topic: (meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",153,28/02/2023,"TITLE-ABS-KEY: (agroforestry OR agro-forestry OR *silvo-past* OR *silvopast* OR silvoarable OR silvo-arable OR forest-farm* OR food-forest* OR agro-silvicult* OR agrosilvicult* OR (alley AND crop*) OR agri-silvicult* OR agrisilvicult*) AND TITLE-ABS-KEY:(meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",149,28/02/2023,175
Agroforestry systems,Search 3,"Topic: (agroforestry OR agro-forestry OR *silvo-past* OR *silvopast* OR silvoarable OR silvo-arable OR forest-farm* OR food-forest* OR agro-silvicult* OR agrosilvicult* OR (alley AND crop*) OR agri-silvicult* OR agrisilvicult*) AND Topic: (metaanaly* OR meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",206,09/11/2023,"TITLE-ABS-KEY: (agroforestry OR agro-forestry OR *silvo-past* OR *silvopast* OR silvoarable OR silvo-arable OR forest-farm* OR food-forest* OR agro-silvicult* OR agrosilvicult* OR (alley AND crop*) OR agri-silvicult* OR agrisilvicult*) AND TITLE-ABS-KEY:(metaanaly* OR meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",189,09/11/2023,NA
Agroforestry systems,Search 4,"Topic: (agroforestry OR agro-forestry OR *silvo-past* OR *silvopast* OR silvoarable OR silvo-arable OR forest-farm* OR food-forest* OR agro-silvicult* OR agrosilvicult* OR (alley AND crop*) OR agri-silvicult* OR agrisilvicult*) AND Topic: (metaanaly* OR meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",244,21/09/2024,"TITLE-ABS-KEY: (agroforestry OR agro-forestry OR *silvo-past* OR *silvopast* OR silvoarable OR silvo-arable OR forest-farm* OR food-forest* OR agro-silvicult* OR agrosilvicult* OR (alley AND crop*) OR agri-silvicult* OR agrisilvicult*) AND TITLE-ABS-KEY:(metaanaly* OR meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",215,21/09/2024,NA
Agroforestry systems,Other searches,NA,NA,NA,NA,NA,NA,NA
Conservation agriculture systems,Total,NA,NA,01/09/2021,NA,NA,01/09/2021,359
Conservation agriculture systems,Search 1 (Conservation agriculture only),"Topic: (""conservation"" NEAR ""agriculture"") AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",230,01/09/2021,"TITLE-ABS-KEY(""conservation"" W/ ""agriculture"") AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",180,01/09/2021,350
Conservation agriculture systems,Search 2 (Conservation agriculture and no-tillage variants),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
Conservation agriculture systems,Search 3 (Conservation agriculture and no/reduced tillage variants),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"") OR (""reduce*"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"") OR (""reduce*"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
