"doi","authors","year","title","reference","type"
"10.1111/1365-2664.13124","winter, s; bauer, t; strauss, p; kratschmer, s; paredes, d; popescu, d; landa, b; guzman, g; gomez, ja; guernion, m; zaller, jg; batary, p","2018","effects of vegetation management intensity on biodiversity and ecosystem services in vineyards: a meta-analysis","J APPL ECOL","meta-analysis"
"10.1002/eap.2278","mcclelland, sc; paustian, k; schipanski, me","2021","management of cover crops in temperate climates influences soil organic carbon stocks: a meta-analysis","Ecological applications, 31, 3, e02278","meta-analysis"
"10.1007/s10113-018-1447-y","lee, h; lautenbach, s; nieto, apg; bondeau, a; cramer, w; geijzendorffer, ir","2019","the impact of conservation farming practices on mediterranean agro-ecosystem services provisioning-a meta-analysis","REGIONAL ENVIRONMENTAL CHANGE,	19(8),	2187-2202.","meta-analysis"
"10.1016/j.agee.2021.107356","crystal-ornelas, r; thapa, r; tully, kl","2021","soil organic carbon is affected by organic amendments, conservation tillage, and cover cropping in organic farming systems: a meta-analysis","Agriculture, Ecosystems & Environment 312, 107356","meta-analysis"
"10.1016/j.agsy.2019.102736","morugan-coronado, a; linares, c; gomez-lopez, md; faz, a; zornoza, r","2020","the impact of intercropping, tillage and fertilizer type on soil and crop yield in fruit orchards under mediterranean conditions: a meta-analysis of field studies","AGRICOLTURAL SYSTEMS, 178, 102736.","meta-analysis"
"10.1016/j.jclepro.2020.125736","payen, ft; sykes, a; aitkenhead, m; alexander, p; moran, d; macleod, m","2020","soil organic carbon sequestration rates in vineyard agroecosystems under different soil management practices: a meta-analysis","JOURNAL OF CLEANER PRODUCTION, 290, 125736.","meta-analysis"
"10.1016/j.landusepol.2019.104204","shackelford, ge; kelsey, r; dicks, lv","2019","effects of cover crops on multiple ecosystem services: ten meta-analyses of data from arable farmland in california and the mediterranean","LAND USE POLICY, 88, 104204.","meta-analysis"
"10.1016/j.soilbio.2020.107735","jian, jinshi; du, xuan; reiter, mark s.; stewart, ryan d.","2020","a meta-analysis of global cropland soil carbon changes due to cover cropping","Soil Biol. Biochem. 143, 107735","meta-analysis"
"10.1016/j.still.2017.03.005","alvarez, roberto; steinbach, haydee s.; de paepe, josefina l.","2017","cover crop effects on soils and subsequent crops in the pampas: a meta-analysis","Soil and Tillage Research 170, 53-65","meta-analysis"
"10.1016/j.still.2019.04.020","muhammad, i., sainju, u.m., zhao, f., (...), fu, x., wang, j.","2019","regulation of soil co2 and n2o emissions by cover crops: a meta-analysis","Soil and Tillage Research 192, pp. 103-112","meta-analysis"
"10.1080/03650340.2021.1937607","fang, lf; shi, xj; zhang, y; yang, yh; zhang, xl; wang, xz; zhang, yt","2021","the effects of ground cover management on fruit yield and quality: a meta-analysis","ARCHIVES OF AGRONOMY AND SOIL SCIENCE","meta-analysis"
"10.1111/gcb.14658","bai, xx; huang, yw; ren, w; coyne, m; jacinthe, pa; tao, b; hui, df; yang, j; matocha, c","2019","responses of soil carbon sequestration to climate-smart agriculture practices: a meta-analysis","GLOBAL CHANGE BIOLOGY, 25, 2591-2606.","meta-analysis"
"10.1007/s11104-018-3810-7","hallama, m; pekrun, c; lambers, h; kandeler, e","2019","hidden miners - the roles of cover crops and soil microorganisms in phosphorus cycling through agroecosystems","PLANT SOIL, 434, 7–45.","meta-analysis"
"10.1016/j.agee.2005.07.003","tonitto, c; david, mb; drinkwater, le","2006","replacing bare fallows with cover crops in fertilizer-intensive cropping systems: a meta-analysis of crop yield and n dynamics","AGRICULTURE ECOSYSTEMS & ENVIRONMENT, 112, 58–72.","meta-analysis"
"10.1016/j.agee.2013.04.018","quemada, m; baranski, m; nobel-de lange, mnj; vallejo, a; cooper, jm","2013","meta-analysis of strategies to control nitrate leaching in irrigated agricultural systems and their effects on crop yield","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","meta-analysis"
"10.1016/j.agee.2015.01.023","valkama e, lemola r, känkänen h, turtola e","2015","meta-analysis of the effects of undersown catch crops on nitrogen leaching loss and grain yields in the nordic countries","Agriculture, Ecosystems & Environment 203, 93-101","meta-analysis"
"10.1016/j.agwat.2021.107085","wang, j; zhang, sh; sainju, um; ghimire, r; zhao, fz","2021","a meta-analysis on cover crop impact on soil water storage, succeeding crop yield, and water-use efficiency","Agricultural Water Management, 256, 107085","meta-analysis"
"10.1016/j.still.2020.104575","jian, jinshi; lester, brandon j.; du, xuan; reiter, mark s.; stewart, ryan d.","2020","a calculator to quantify cover crop effects on soil health and productivity","Soil and Tillage Research 199, 104575","meta-analysis"
"10.2134/agronj2017.12.0752","osipitan, oa; dille, ja; assefa, y; knezevic, sz","2018","cover crop for early season weed suppression in crops: systematic review and meta-analysis","Agronomy Journal 110, 6, 2211-2221","meta-analysis"
"10.2134/jeq2018.03.0107","thapa r, mirsky sb, tully kl","2018","cover crops reduce nitrate leaching in agroecosystems:a global meta-analysis ","Journal of Environmental Quality 47, 6, 1400-1411","meta-analysis"
"10.2135/cropsci2018.10.0603","toler, hd; auge, rm; benelli, v; allen, fl; ashworth, aj","2019","global meta-analysis of cotton yield and weed suppression from cover crops","Crop science 59, 3, 1248-1261","meta-analysis"
"10.2489/jswc.72.3.226","marcillo, gs; miguez, fe","2017","corn yield response to winter cover crops: an updated meta-analysis","JOURNAL OF SOIL AND WATER CONSERVATION, 72(3), 226 - 239.","meta-analysis"
"10.1007/s10705-017-9836-z","han, z; walter, mt; drinkwater, le","2017","n2o emissions from grain cropping systems: a meta-analysis of the impacts of fertilizer-based and ecologically-based nutrient management strategies","NUTRIENT CYCLING IN AGROECOSYSTEMS, 107, 335-355.","meta-analysis"
