fpid,doi,population,intervention,control,metric,effect_size,impact_matrix,impact_positive_effect
Organic farming systems,10.1111/1365-2664.13113,Long-term studies (at least 3 consecutive years) assessing the performance of organic (crops + livestock) systems in comparison to conventional systems.,Organic livestock products,Conventional systems,Top soil organic carbon stock,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Carbon sequestration,increase
Organic farming systems,10.1111/1365-2664.13113,"Long-term studies (at least 3 consecutive years) assessing the performance of organic cropping systems (low manure rates, i.e. livestock number < 1 per hectare)  in comparison to conventional systems.",Organic cropping systems,Conventional systems,Top soil organic carbon stocks,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Carbon sequestration,increase
Organic farming systems,10.1111/1365-2664.13113,"Long-term studies (at least 3 consecutive years) assessing the performance of organic cropping systems (low manure rates, i.e. livestock number < 1 per hectare)  in comparison to conventional systems.",Organic cropping systems,Conventional systems,Top soil organic carbon sequestration rates,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Carbon sequestration,increase
Organic farming systems,10.1111/1365-2664.13113,Long-term studies (at least 3 consecutive years) assessing the performance of organic (crops + livestock) systems in comparison to conventional systems.,Organic livestock products,Conventional systems,Top soil organic carbon sequestration rates,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Carbon sequestration,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,N fertilisation,Arthropod abundance,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Biodiversity,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,P fertilisation,Arthropod abundance,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Biodiversity,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,NP fertilisation,Arthropod abundance,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Biodiversity,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,NPK fertilisation,Arthropod abundance,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Biodiversity,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,NPK fertilisation + micronutrients,Arthropod abundance,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Biodiversity,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,NK fertilisation + micronutrients,Arthropod abundance,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Biodiversity,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,PK fertilisation + micronutrients,Arthropod abundance,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Biodiversity,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,K fertilisation + micronutrients,Arthropod abundance,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Biodiversity,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,N fertilisation,Plant biomass,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Grassland production,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,P fertilisation,Plant biomass,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Grassland production,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,NP fertilisation,Plant biomass,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Grassland production,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,NPK fertilisation,Plant biomass,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Grassland production,increase
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,NPK fertilisation + micronutrients,Plant biomass,Cohen's d (standardized difference) comparing the considered metrics between intervention and control,Grassland production,increase
