fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Cover and catch crops,10.1002/ael2.20022,Pests and diseases,Time after cover crop,"Measurements taken before cash-crop planting showed a 74% (CI: 51–85%) reduction in WBIO, compared with only 44% (CI: 12–64%) in measurements taken after planting (p < .01).",Type of weed,"Winter annual weeds showed the largest reductions (65%; CI: 27–83%), followed by summer annuals (47%; CI: 10–68%), with perennial weeds being unaffected by CCs.",Cover crop biomass production,"Weed suppression was significantly affected by cover crop biomass for both weed biomass (p = .03) and weed density (p < .01). An estimated 5 Mg ha−1 of CCBIO at termination reduced WBIO by 75% for grass CCs, but only 40% for other CCs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with lime and gypsum,10.1002/agj2.20125,Crop yield,Al saturation,Higher yield gain in case of high Al saturation,Water deficiency,High yield gain in case of water deficiency,Crop species,Higher yield gain for cereals than for soybean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland conservation and restoration,10.1002/aqc.889,Pests and diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crop residue management,10.1002/clen.202000386,Soil biological quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intercropping; Leguminous crops,10.1002/eap.1629,Crop yield,Crop type,"Authors observed a significant yield increase for all crops tested in three or more studies, with the exception of sorghum. The highest increase was recorded for corn and legumes.",Crop/cultivar combinations,Mixtures with more cultivars (i.e. higher than three) and those with more functional trait diversity showed higher relative yields. Planned mixtures based on both disease and physical characteristics were significantly better than those mixtures based on either a physical or a disease basis alone,Soil organic matter,"Auhtors found a negative correlation between soil organic mater and RY, suggesting that, in environments where nutrient supply from organic matter mineralization may be more limited, mixtures resulted in greater yield benefits.",Soil pH,"Soil pH levels that were below crop-optimum levels positively affected RY, while soils with pH levels above crop optima substantially reduced the RY of mixtures",Fertiliser application,RY was greater in studies where no fertilizers were applied,Disease severity,"Generally, mixtures in environments with high disease pressure had greater RY compared to those grown under conditions with little or no disease pressure. This effect was also detected when considering mixtures intentionally constructed based on both physical and disease characteristics, but not for those based on only disease characteristics.",Latitude,"Those studies conducted closer to the equator in the tropical region had significantly higher RYs than those studies conducted in the temperate region, which constituted the vast majority of observations. Latitude as a continuous variable follows the trend suggested by the climate zones with a weak, but significant, negative relationship with RY.",NA,NA
Leguminous crops; Crop rotation,10.1002/eap.1648,Carbon sequestration,Crop type,"The negative effect of legume grains on SOC concentrations was mediated by the species of cereal grain in the control rotation: Cereal + legume grain rotations, when compared to either a Maize monoculture or to a wheat monoculture, did not differ significantly in their SOC concentrations. Compared to grain only rotations that included multiple species of cereal grains (“miscellaneous”), incorporating legume grains into rotations decreased SOC concentrations by 7.5%; The negative effect of legume grains on SOC concentrations was mediated by the species of cereal grain in the control rotation: Cereal + legume grain rotations, when compared to either a corn monoculture or to a wheat monoculture, did not differ significantly in their SOC concentrations. Compared to grain only rotations that included multiple species of cereal grains (“miscellaneous”), incorporating legume grains into rotations decreased SOC concentrations by 7.5%",N application rate,Cereal + legume grain rotations decreased SOC compared to cereal rotations more under high N fertilizer rates (>75 kg N ha-1 y-1) than under low N fertilizer rates (<75 kg N ha-1 y-1),Elevation,At higher elevations incorporating legume grains into a cereal grain rotation had less of a negative effect on SOC concentrations,Latitude,Further from the equator incorporating legume grains into a cereal grain rotation had less of a negative effect on SOC concentrations,Site-level SOC concentration,"At higher site-level SOC concentrations, incorporating legume grains into a cereal grain rotation had less of a negative effect on SOC concentrations",NA,NA,NA,NA,NA,NA
Cover and catch crops,10.1002/eap.2278,Carbon sequestration,Growing window,"Cover crop planting and termination date, i.e., growing window, was the most significant predictor of SOC response across all the individual moderators (P = 0.003). Continuous cover and autumn planted and terminated cover crops exhibited the highest influence on SOC response (36% and 27%, respectively) relative to overwintering (8%) and summer cover crops (7%).",Cover crop biomass production,"SOC response under high cover crop biomass production (>7 Mg·ha−1·yr−1) was 30%, which was almost 20% greater than low (12%) or moderate (11%) cover crop biomass production.",Rotation type,Perennial crop rotations (35% increase in SOC) had 27% and 23% higher SOC response to cover cropping relative to both continuous annual and multi-crop annual systems,Tillage,"Systems managed with no-till had higher mean percent change than conventional tillage (16% vs. 9%, respectively), but there were no differences between no-till and reduced tillage or conventional tillage and reduced tillage",Soil texture,Higher clay content soils (≥20% clay) demonstrated greater SOC response relative to lower (<20%) clay content soils (P = 0.009,Pedo-climatic zone,Temperate cool climates exhibited between 10% and 21% lower mean SOC percent change relative to both levels of subtropical climate,NA,NA,NA,NA
Peatland conservation and restoration,10.1002/ece3.2469,GHG emissions,Fen vs. Bog,"Drainage reduced CH4 emissions from the fen ecosystems by more than that from bog ecosystems, and a t-test showed a significant difference (t = 2.46, p < .015) between fens and bogs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1002/ece3.3287,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wetland management,10.1002/ecm.1221,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
