"fpid","doi","population","intervention","intervention_matrix","control","control_matrix","metric","metric_positive_effect","effect_size","impact_matrix","impact_positive_effect","positive","negative","no_effect","uncertain","results_level","results_qtype","results_statistics","results_1","results_2","results_3","results_nb_of_trials","results_nb_of_papers","results_threshold","i_c_shift","metric_std2","metric_unit","sustainability_outcome","f_pclass_tier0","policy_class_codes","policy_class_names","scale","population_name1","population_value1","population_name2","population_value2","population_name3","population_value3","population_name4","population_value4","population_name5","population_value5","population_name6","population_value6"
"Organic farming systems","10.1111/1365-2664.13113","Long-term studies (at least 3 consecutive years) assessing the performance of organic (crops + livestock) systems in comparison to conventional systems.","Organic livestock products","Organic livestock products","Conventional systems","Conventional system","Top soil organic carbon stock","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.68571428571428505","0.45714285714285702","0.91428571428571404","296",NA,"0",0,"Organic carbon stock (soil)","kg /ha","Carbon sequestration","Organic farming","O1X","Organic farming (O1X)","Global","Land use","Cropland+Animals","Geographical coverage","Global","type of fertilisation","Low manure rates (LMR, European livestock units per hectare ≤1) and high manure rates (LMR, European livestock units per hectare >1)","Study duration","Long-term studies (at least 3 consecutive years)",NA,NA,NA,NA
"Organic farming systems","10.1111/1365-2664.13113","Long-term studies (at least 3 consecutive years) assessing the performance of organic cropping systems (low manure rates, i.e. livestock number < 1 per hectare)  in comparison to conventional systems.","Organic cropping systems","Organic cropping systems","Conventional systems","Conventional system","Top soil organic carbon stocks","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Subgroup-1","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","0.628571428571428","0.38571428571428501","0.85714285714285698","101",NA,"0",0,"Organic carbon stock (soil)","kg /ha","Carbon sequestration","Organic farming","O1X","Organic farming (O1X)","Global","Land use","Cropland+Animals","Geographical coverage","Global","type of fertilisation","Low manure rates (LMR, European livestock units per hectare ≤1) and high manure rates (LMR, European livestock units per hectare >1)","Study duration","Long-term studies (at least 3 consecutive years)",NA,NA,NA,NA
"Organic farming systems","10.1111/1365-2664.13113","Long-term studies (at least 3 consecutive years) assessing the performance of organic cropping systems (low manure rates, i.e. livestock number < 1 per hectare)  in comparison to conventional systems.","Organic cropping systems","Organic cropping systems","Conventional systems","Conventional system","Top soil organic carbon sequestration rates","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Subgroup-1","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","1.77142857142857","0.85","3.2857142857142798","45",NA,"0",0,"Organic carbon sequestration rate (soil)","C kg /ha /year","Carbon sequestration","Organic farming","O1X","Organic farming (O1X)","Global","Land use","Cropland+Animals","Geographical coverage","Global","type of fertilisation","Low manure rates (LMR, European livestock units per hectare ≤1) and high manure rates (LMR, European livestock units per hectare >1)","Study duration","Long-term studies (at least 3 consecutive years)",NA,NA,NA,NA
"Organic farming systems","10.1111/1365-2664.13113","Long-term studies (at least 3 consecutive years) assessing the performance of organic (crops + livestock) systems in comparison to conventional systems.","Organic livestock products","Organic livestock products","Conventional systems","Conventional system","Top soil organic carbon sequestration rates","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Carbon sequestration","increase",1,0,0,0,"Grand-mean","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","mean; 95% confidence interval lower bound; 95% confidence interval upper bound","2.02857142857142","1.3285714285714201","2.8571428571428501","109",NA,"0",0,"Organic carbon sequestration rate (soil)","C kg /ha /year","Carbon sequestration","Organic farming","O1X","Organic farming (O1X)","Global","Land use","Cropland+Animals","Geographical coverage","Global","type of fertilisation","Low manure rates (LMR, European livestock units per hectare ≤1) and high manure rates (LMR, European livestock units per hectare >1)","Study duration","Long-term studies (at least 3 consecutive years)",NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","N fertilisation","Fertilisation","Arthropod abundance","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Biodiversity","increase",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Taxonomic parameters (arthropod)",NA,"Biodiversity","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","P fertilisation","Fertilisation","Arthropod abundance","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Biodiversity","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Taxonomic parameters (arthropod)",NA,"Biodiversity","Grassland and grazing","F114|","Ban on P fertilisers (F114)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","NP fertilisation","Fertilisation","Arthropod abundance","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Biodiversity","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Taxonomic parameters (arthropod)",NA,"Biodiversity","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","NPK fertilisation","Fertilisation","Arthropod abundance","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Biodiversity","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Taxonomic parameters (arthropod)",NA,"Biodiversity","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","NPK fertilisation + micronutrients","Fertilisation","Arthropod abundance","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Biodiversity","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Taxonomic parameters (arthropod)",NA,"Biodiversity","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","NK fertilisation + micronutrients","Fertilisation","Arthropod abundance","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Biodiversity","increase",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Taxonomic parameters (arthropod)",NA,"Biodiversity","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","PK fertilisation + micronutrients","Fertilisation","Arthropod abundance","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Biodiversity","increase",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Taxonomic parameters (arthropod)",NA,"Biodiversity","Grassland and grazing","F114|","Ban on P fertilisers (F114)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","K fertilisation + micronutrients","Fertilisation","Arthropod abundance","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Biodiversity","increase",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Taxonomic parameters (arthropod)",NA,"Biodiversity","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","N fertilisation","Fertilisation","Plant biomass","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Grassland production","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Net primary productivity",NA,"Agricultural production","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","P fertilisation","Fertilisation","Plant biomass","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Grassland production","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Net primary productivity",NA,"Agricultural production","Grassland and grazing","F114|","Ban on P fertilisers (F114)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","NP fertilisation","Fertilisation","Plant biomass","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Grassland production","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Net primary productivity",NA,"Agricultural production","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grassland management","10.1111/geb.13196","Semi-natural grasslands","No fertilisation","No fertilisation","NPK fertilisation","Fertilisation","Plant biomass","increase","Cohen's d (standardized difference) comparing the considered metrics between intervention and control","Grassland production","increase",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Net primary productivity",NA,"Agricultural production","Grassland and grazing","F112|","Ban on mineral fertilisers (F112)","Global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
