fpid,doi,population,intervention,intervention_matrix,control,control_matrix,f_pclass_tier0,policy_class_codes,policy_class_names
Organic farming systems,10.1111/1365-2664.13113,Long-term studies (at least 3 consecutive years) assessing the performance of organic (crops + livestock) systems in comparison to conventional systems.,Organic livestock products,Organic livestock products,Conventional systems,Conventional system,Organic farming,O1X,Organic farming (O1X)
Organic farming systems,10.1111/1365-2664.13113,"Long-term studies (at least 3 consecutive years) assessing the performance of organic cropping systems (low manure rates, i.e. livestock number < 1 per hectare)  in comparison to conventional systems.",Organic cropping systems,Organic cropping systems,Conventional systems,Conventional system,Organic farming,O1X,Organic farming (O1X)
Organic farming systems,10.1111/1365-2664.13113,"Long-term studies (at least 3 consecutive years) assessing the performance of organic cropping systems (low manure rates, i.e. livestock number < 1 per hectare)  in comparison to conventional systems.",Organic cropping systems,Organic cropping systems,Conventional systems,Conventional system,Organic farming,O1X,Organic farming (O1X)
Organic farming systems,10.1111/1365-2664.13113,Long-term studies (at least 3 consecutive years) assessing the performance of organic (crops + livestock) systems in comparison to conventional systems.,Organic livestock products,Organic livestock products,Conventional systems,Conventional system,Organic farming,O1X,Organic farming (O1X)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,N fertilisation,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,P fertilisation,Fertilisation,Grassland and grazing,F114|,Ban on P fertilisers (F114)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,NP fertilisation,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,NPK fertilisation,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,NPK fertilisation + micronutrients,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,NK fertilisation + micronutrients,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,PK fertilisation + micronutrients,Fertilisation,Grassland and grazing,F114|,Ban on P fertilisers (F114)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,K fertilisation + micronutrients,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,N fertilisation,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,P fertilisation,Fertilisation,Grassland and grazing,F114|,Ban on P fertilisers (F114)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,NP fertilisation,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,NPK fertilisation,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,NPK fertilisation + micronutrients,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,NK fertilisation + micronutrients,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,PK fertilisation + micronutrients,Fertilisation,Grassland and grazing,F114|,Ban on P fertilisers (F114)
Grassland management,10.1111/geb.13196,Semi-natural grasslands,No fertilisation,No fertilisation,K fertilisation + micronutrients,Fertilisation,Grassland and grazing,F112|,Ban on mineral fertilisers (F112)
Wetland conservation and restoration,10.1002/aqc.889,Coastal estuaries invaded by Spartina alterniflora,Crushing and herbicide application,Restoration by management of invasive plant species,Before or no mechanical control,No management of invasive species,Landscape features management,L521,Wetland restoration (L521)
