"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JCXUDJ52","journalArticle","2024","Haile, Mustafa A.; Karanja, Nancy N.; Nyawade, Shadrack O.; Gitari, Harun I.; Cheruto, Gladys; Nyawira, Lukelysia; Raza, Muhammad Ali; Kamau, Solomon","Lupin and Lima Beans Diminish Potatoes’ N and P Uptake, Uptake Efficiency and Use Efficiency","Potato Research","","0014-3065, 1871-4528","10.1007/s11540-023-09625-9","https://link.springer.com/10.1007/s11540-023-09625-9","","2024-03","2026-04-29 10:46:52","2026-04-29 10:46:52","2026-04-29 10:46:52","37-53","","1","67","","Potato Res.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KH2VBZDP","journalArticle","2024","Visscher, Anna M.; Chavez, Eduardo; Caicedo, Carlos; Tinoco, Leider; Pulleman, Mirjam","Biological soil health indicators are sensitive to shade tree management in a young cacao (Theobroma cacao L.) production system","Geoderma Regional","","23520094","10.1016/j.geodrs.2024.e00772","https://linkinghub.elsevier.com/retrieve/pii/S2352009424000191","","2024-06","2026-04-29 10:47:14","2026-04-29 10:47:14","2026-04-29 10:47:14","e00772","","","37","","Geoderma Regional","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\E7NVVN99\Visscher et al. - 2024 - Biological soil health indicators are sensitive to shade tree management in a young cacao (Theobroma.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K38DY5LK","journalArticle","2024","Noda-Leyva, Yolai; Martín-Martín, Giraldo Jesús; Martín-Alonso, Gloria Marta; Perez Vazquez, Arturo","EFFECT OF DIFFERENT SPATIAL ARRANGEMENTS OF Jatropha curcas L. ON FOOD CROPS","Agrociencia","","2521-9766, 1405-3195","10.47163/agrociencia.v58i2.3019","https://agrociencia-colpos.org/index.php/agrociencia/article/view/3019","The objective of this study was to assess, during three years, the spatial arrangement that will enhance the morpho-productive development of Jatropha curcas L. in association systems with staple crops. It was hypothesized that the association of crops is a factor that determines the behavior of the species and the development of agroenergetic farms, considering rainy and low rainfall periods. A quasi-experimental design was used, and four treatments were tested: 1) J. curcas (Jc) in monoculture; 2) 50 % of the area with Jc and 50 % planted with food crops in rotation (CA); 3) Jc intercropped with CA; and 4) area planted with CA. A principal component statistical analysis was performed with the variables fruit yield and associated crop yield using 95 % confidence intervals from a Student’s t-test. The number of bunches and total fruit and seeds harvested from Jc were shown to be the most important and had a positive correlation for the first component in each period. As for fruit yield, the highest values were achieved in monoculture. Although high yields were not attained in CA, the relationship is regarded favorable since the use of polycultures is viable, fundamentally in the arrangement of 50 % Jc + 50 % CA, being positive the biological efficiency given by the diversification and the best equivalent land use.","2024-03-20","2026-04-29 10:47:11","2026-04-29 10:47:11","2026-04-29 10:47:11","","","","","","agro","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\ELUDBTEQ\Noda-Leyva et al. - 2024 - EFFECT OF DIFFERENT SPATIAL ARRANGEMENTS OF Jatropha curcas L. ON FOOD CROPS.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KJLTDPW","journalArticle","2024","Ngwenya, Zanele D.; Mohammed, Mustapha; Dakora, Felix D.","Monocropping and Intercropping of Maize with Six Food Legumes at Malkerns in Eswatini: Their Effects on Plant Growth, Grain Yield and N2 Fixation, Measured using the 15N Natural Abundance and Ureide Techniques","Symbiosis","","0334-5114, 1878-7665","10.1007/s13199-024-00971-x","https://link.springer.com/10.1007/s13199-024-00971-x","Abstract                            Intercropping of legumes and cereals has many benefits to both plant partners. In this study, the effect of legume-maize intercropping on plant growth, grain yield and N               2               fixation of six legumes was assessed using the               15               N natural abundance and ureide techniques. For this, a field experiment involving six legume species and two cropping systems was established at the Malkerns Research Station, Eswatini during the 2017/2018 cropping season. Based on the               15               N isotopic and ureide analysis, the six test legumes respectively obtained 39.06 – 70.19% and 16.46 – 55.79% of their N nutrition from symbiosis. The amounts of N-fixed ranged from 12.66 to 66.57 kg ha               −1               . In general, high amount of N-fixed by legumes correlated strongly with greater shoot dry matter accumulation (r = 0.7981; p < 0.001) and high grain yield (r = 0.5905; p < 0.001), indicating the importance of N               2               fixation in plant growth and reproduction. Legumes grown under monocropping recorded higher plant growth, symbiotic performance and grain yield when compared to those grown in mixed culture with maize. However, shoot %Ndfa was much higher under intercropping than sole cropping due to competition by cereal and legume for soil N. Components of maize yield were similar for the two cropping systems. The %N derived from fixation and %relative ureide-N abundance were significantly correlated (r = 0.4005; p < 0.001), indicating that the               15               N natural abundance technique and the ureide method were complementary in measuring N               2               fixation in the test legumes. These results have provided some insights on the impact of cropping system on plant growth, symbiotic performance and grain yield of six selected legumes.","2024-03","2026-04-29 10:47:09","2026-04-29 10:47:09","2026-04-29 10:47:09","257-269","","2","92","","Symbiosis","Monocropping and Intercropping of Maize with Six Food Legumes at Malkerns in Eswatini","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\Y2U2W6UB\Ngwenya et al. - 2024 - Monocropping and Intercropping of Maize with Six Food Legumes at Malkerns in Eswatini Their Effects.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFWHV2JX","journalArticle","2024","Tinoco-Jaramillo, Leider; Vargas-Tierras, Yadira; Habibi, Nasratullah; Caicedo, Carlos; Chanaluisa, Alexandra; Paredes-Arcos, Fernando; Viera, William; Almeida, Marcelo; Vásquez-Castillo, Wilson","Agroforestry Systems of Cocoa (Theobroma cacao L.) in the Ecuadorian Amazon","Forests","","1999-4907","10.3390/f15010195","https://www.mdpi.com/1999-4907/15/1/195","Agroforestry systems in the Ecuadorian Amazon play a vital role in environmental conservation and the promotion of sustainable agriculture. Therefore, it is crucial to demonstrate the benefits of the associated species within these production systems. This study aimed to assess the impact of agroforestry systems on cocoa yield, carbon sequestration, earthworm presence, and the nutritional contribution of companion species linked to cocoa (Theobroma cacao L.) cultivation under agroforestry systems. The research was conducted at INIAP’s Central Experimental Station of the Amazon using a randomized complete block design with three replications. The agroforestry arrangements were: (1) monoculture; (2) forest (Cedrelinga cateniformis Ducke); (3) fruit forest (Bactris gasipaes Kunth); (4) service (Erythrina poeppigiana (Walp.) O.F.Cook); and (5) forest + service (E. poeppigiana + C. cateniformis). The results indicated that agroforestry systems showed better results than the monoculture in terms of yield (532.0 kg ha−1 compared to 435.4 kg ha−1) and total stored carbon (33.0–42.0 t ha−1 compared to 39.6 t ha−1). Additionally, agroforestry systems provided higher levels of Mg, B, and Ca, contributing to both crop yield and the presence of earthworms. These findings suggest a positive influence of companion species, improving soil nutrition through biomass incorporation and promoting environmental benefits (carbon sequestration). Therefore, agroforestry systems will support sustainable cocoa production in the Ecuadorian Amazon.","2024-01-18","2026-04-29 10:47:07","2026-04-29 10:47:07","2026-04-29 10:47:07","195","","1","15","","Forests","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\T95QVVLZ\Tinoco-Jaramillo et al. - 2024 - Agroforestry Systems of Cocoa (Theobroma cacao L.) in the Ecuadorian Amazon.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IS5AGCJ","journalArticle","2024","Köneke, A.; Böckmann, E.","Wheat companion plants reduced aphid and flea beetle infestations in Brassica vegetable crops in a multiple-year field study in central Germany","Crop Protection","","02612194","10.1016/j.cropro.2024.106732","https://linkinghub.elsevier.com/retrieve/pii/S0261219424001601","","2024-08","2026-04-29 10:47:25","2026-04-29 10:47:25","2026-04-29 10:47:25","106732","","","182","","Crop Protection","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P6WX843M","journalArticle","2023","Octavia, Dona; Wijayanto, Nurheni; Budi, Sri Wilarso; Batubara, Irmanida; Suharti, Sri","THE POTENTIAL OF CARDAMOM LEAF IN THE AGROFORESTRY SYSTEM: ESSENTIAL OIL YIELD AND 1.8-CINEOL CONTENT","Indonesian Journal of Forestry Research","","2406-8195, 2355-7079","10.59465/ijfr.2024.11.1.17-32","https://ejournal.aptklhi.org/index.php/ijfr/article/view/157","Cardamom (Amomum cardamomum), the ‘Queen of spices’, is a native Indonesian spice, a type of potential biopharmaceutical currently prospective because of its high selling value, especially for its fruit, with various benefits and its wide use. So far, cardamom essential oil comes from the utilization of its fruit, but the production is more limited, unlike the sustainably produced leaves, therefore, its leaves have the potential to be developed. This study aims to analyze the essential oil yield and 1.8-cineol content of cardamom leaves essential oil (CLEO) grown in agroforestry systems. The CLEO was obtained by steam-water distillation, while the 1.8-cineol content was analyzed by gas chromatography–mass spectrometry (GC-MS). The experimental design employed was a Randomized Complete Block Design with three cropping patterns as a treatment and three doses of bokashi fertilizer as blocks. The results showed that the highest yield of CLEO was generated in the sengon + cardamom agroforestry pattern of 3.16%, and the highest content of 1,8-cineol in CLEO was generated in the sengon + cardamom + arrowroot agroforestry pattern of 47.23%, while the lowest yield of CLEO and the 1,8-cineol content were found in the monoculture pattern of 2,02% and 43.16% respectively. Agroforestry practices have the potential to increase 1,8-cineol content and the yield of essential oil in cardamom leaf, which will be prospective in forest management to support forestry multi-business and social forestry programs.","2023-12-11","2026-04-29 10:47:21","2026-04-29 10:47:21","2026-04-29 10:47:21","17-32","","1","11","","Ina.J.For.Res","THE POTENTIAL OF CARDAMOM LEAF IN THE AGROFORESTRY SYSTEM","","","","","","","","https://creativecommons.org/licenses/by-nc-sa/4.0","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\DH8EEYXD\Octavia et al. - 2023 - THE POTENTIAL OF CARDAMOM LEAF IN THE AGROFORESTRY SYSTEM ESSENTIAL OIL YIELD AND 1.8-CINEOL CONTEN.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U5LZQE7G","journalArticle","2023","Liu, Yaru; Huang, Lukuan; Liu, Qizhen; Li, Zhesi; Liu, Chanjuan; Yuan, Jie; Liao, Jiayuan; Luo, Lishan; Yu, Chao; Feng, Ying","Effects of tomato-Sedum alfredii Hance intercropping on crop production and Cd remediation as affected by soil types","Environmental Science and Pollution Research","","1614-7499","10.1007/s11356-023-31318-6","https://link.springer.com/10.1007/s11356-023-31318-6","","2023-12-13","2026-04-29 10:47:38","2026-04-29 10:47:38","2026-04-29 10:47:37","3696-3706","","3","31","","Environ Sci Pollut Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHYIMX8E","journalArticle","2024","Benalia, Haddad; Fatima, Lambarraa-Lehnhardt; Fatma-Zohra, Bouras; Omar, Kherif; Bahia, Zemmouri; Mounir, Seghouani; Fouzi, Guetaf; Merwa, Ferhat; Mourad, Latati","Comparative assessment of agroforestry performances between pea and barley intercropping with olive tree under Mediterranean conditions","Agroforestry Systems","","0167-4366, 1572-9680","10.1007/s10457-023-00933-0","https://link.springer.com/10.1007/s10457-023-00933-0","","2024-03","2026-04-29 10:47:53","2026-04-29 10:47:53","2026-04-29 10:47:53","619-635","","3","98","","Agroforest Syst","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHM6HRB8","journalArticle","2024","Morkeliūnė, Armina; Rasiukevičiūtė, Neringa; Dėnė, Lina; Dambrauskienė, Edita; Duchovskienė, Laisvūnė; Valiuškaitė, Alma","Effect of White Cabbage Intercropping with Aromatic Plant on Yield, Mineral and Biochemical Composition","Plants","","2223-7747","10.3390/plants13131870","https://www.mdpi.com/2223-7747/13/13/1870","The growing demand for higher-quality food production in smaller soil areas points to optimized land use. Intercropping has the potential to increase yield, reduce pests and diseases, and boost biodiversity. This study, conducted at the Institute of Horticulture, Lithuanian Research Centre for Agriculture and Forestry, from 2017 to 2019, aimed to determine the effect of white cabbage intercropping with aromatic plants, calendula, French marigold, thyme, and sage on yield, mineral and biochemical composition. Aromatic plants are known to reduce the occurrence of pests and diseases, so this study aimed to determine whether aromatic plants affect the yield, mineral, and biochemical composition of white cabbage. The two-year observations demonstrated that aromatic plants did not affect or slightly affect the mineral composition of cabbage’s primary macronutrients (N, P, K, Mg, and Ca). Cabbage’s dry matter, sugars, and ascorbic acid content vary when grown intercropped with aromatic plants compared to monoculture. Although the results were comparable, sugar concentration was lower in all cabbage combinations than in monoculture. Lower nitrate levels were detected in cabbage monoculture, probably due to agro-meteorological circumstances. The highest cabbage yield was achieved by intercropping with thyme (7.25 t/ha) compared to monoculture (6.81 t/ha) in 2018. It was found that intercropping with aromatic plants had little effect on the biochemical composition of white cabbage. The study results suggest that French marigold and thyme can be grown together with white cabbage to improve the phytosanitary of vegetables without compromising the biochemical quality of the cabbages. However, the influence on biochemical composition, especially on the nitrate and glucosinolate levels, should be examined further, providing valuable insights for future research in this field.","2024-07-06","2026-04-29 10:47:51","2026-04-29 10:47:51","2026-04-29 10:47:51","1870","","13","13","","Plants","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\andreasanchez\Zotero\storage\9S54AHFN\Morkeliūnė et al. - 2024 - Effect of White Cabbage Intercropping with Aromatic Plant on Yield, Mineral and Biochemical Composit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
