practice,year,season,mean,mean+se,se
S6: 6 months tree growth with Sesbania fallow,1996,LR, 5.704327697502654, 5.977949862186638,0.273622165
S18: 18 months tree growth with Sesbania fallow,1996,LR, 1.796513500936653, 2.0701356656206373,0.273622165
N6: 6 months natural regrowth of vegetation fallow without cultivation,1996,LR, 4.494720137455404, 4.748726270448281,0.254006133
N18: 18 months natural regrowth of vegetation fallow without cultivation,1996,LR, 1.700867448603372, 1.9940340536219257,0.293166605
M: continuous maize cropping,1996,LR, 1.6629956209953578, 1.8973857222971269,0.234390101
MF: continuous maize cropping associated with fertilizer  (60 kg P2O5 + 60 kg N/ha/season),1996,LR, 2.4653915450607924, 2.621675476380818,0.156283931
S6: 6 months tree growth with Sesbania fallow,1997,LR, 3.347182283525635, 3.8358648832464293,0.4886826
S18: 18 months tree growth with Sesbania fallow,1997,LR, 2.5275328425348107, 2.781467384171151,0.253934542
N6: 6 months natural regrowth of vegetation fallow without cultivation,1997,LR, 2.4696870264530055, 2.7629252228280974,0.293238196
N18: 18 months natural regrowth of vegetation fallow without cultivation,1997,LR, 2.6271880108341588, 3.0769249125988853,0.449736902
M: continuous maize cropping,1997,LR, 2.5893161832261447, 2.745528523189633,0.15621234
MF: continuous maize cropping associated with fertilizer  (60 kg P2O5 + 60 kg N/ha/season),1997,LR, 3.528523189633572, 3.723967592979274,0.195444403
S6: 6 months tree growth with Sesbania fallow,1998,LR, 1.557040413320764, 1.732868784975361,0.175828372
S18: 18 months tree growth with Sesbania fallow,1998,LR, 1.2452600556026203, 1.3625982889665789,0.117338233
N6: 6 months natural regrowth of vegetation fallow without cultivation,1998,LR, 1.4026894486272354, 1.6568387643331848,0.254149316
N18: 18 months natural regrowth of vegetation fallow without cultivation,1998,LR, 1.4820126716701072, 1.8140533832881909,0.332040712
M: continuous maize cropping,1998,LR, 1.5611927119999036, 1.7567802980586817,0.195587586
MF: continuous maize cropping associated with fertilizer  (60 kg P2O5 + 60 kg N/ha/season),1998,LR, 3.4189168227755964, 3.5167106158049846,0.097793793
