System,Value,Type,Metric
CFF,0.006185567, Low-Q,Sh-Diversity
CFF,0.088082902, Low-Q,Sh-Eveness
CFF,1.067039106, Low-Q,Richness
CFF,2.027932961, Median,Richness
CFF,0.080412371, Median,Sh-Diversity
CFF, 0.19170984455958537, Median,Sh-Eveness
CFF, 0.44041450777202096, Up-Q,Sh-Eveness
CFF,0.191752577, Up-Q,Sh-Diversity
CFF,2.072625698, Up-Q,Richness
CP,0.977653631, Low-Q,Richness
CP, 0.6373056994818652, Low-Q,Sh-Eveness
CP,0, Low-Q,Sh-Diversity
CP,1.044692737, Median,Richness
CP,0, Median,Sh-Diversity
CP, 0.7616580310880829, Median,Sh-Eveness
CP,1.089385475, Up-Q,Richness
CP, 0.7979274611398964, Up-Q,Sh-Eveness
CP,0, Up-Q,Sh-Diversity
NSP,0.173195876, Low-Q,Sh-Diversity
NSP, 0.23316062176165822, Low-Q,Sh-Eveness
NSP,2.005586592, Low-Q,Richness
NSP,3.033519553, Median,Richness
NSP,0.340206186, Median,Sh-Diversity
NSP, 0.30051813471502603, Median,Sh-Eveness
NSP,0.544329897, Up-Q,Sh-Diversity
NSP, 0.4507772020725391, Up-Q,Sh-Eveness
NSP,3.100558659, Up-Q,Richness
SP,3.011173184, Low-Q,Richness
SP,0.649484536, Low-Q,Sh-Diversity
SP,0.678756477, Low-Q,Sh-Eveness
SP,3.033519553, Median,Richness
SP,0.835051546, Median,Sh-Diversity
SP, 0.7253886010362696, Median,Sh-Eveness
SP,3.569832402, Up-Q,Richness
SP,0.964948454, Up-Q,Sh-Diversity
SP, 0.8031088082901555, Up-Q,Sh-Eveness
WL,0.896907216, Low-Q,Sh-Diversity
WL,3.994413408, Low-Q,Richness
WL,4.083798883, Median,Richness
WL,0.977319588, Median,Sh-Diversity
WL,1.070103093, Up-Q,Sh-Diversity
WL,5.044692737, Up-Q,Richness
