Site,Treatment,Average damage,Variance,SE
Mtwapa,maize monocrop,48.21621622,52.75675676,4.540540541
Mtwapa,1.5 m intercrop,38.54054054,43.2972973,4.756756757
Mtwapa,2.25 m intercrop,39.83783784,44.32432432,4.486486486
Mtwapa,2.25 unmulched intercrop,38.27027027,42.7027027,4.432432432
Mtwapa,2.25 m unweeded intercrop,36.91891892,41.56756757,4.648648649
Mtwapa,3.0 m intercrop,40.32432432,44.97297297,4.648648649
Amoyo,maize monocrop,5.243243243,6.108108108,0.864864865
Amoyo,1.5 m intercrop,5.567567568,6.648648649,1.081081081
Amoyo,2.25 m intercrop,6.594594595,7.621621622,1.027027027
Amoyo,2.25 unmulched intercrop,6.054054054,6.594594595,0.540540541
Amoyo,2.25 m unweeded intercrop,5.945945946,6.918918919,0.972972973
Amoyo,3.0 m intercrop,5.459459459,6.486486486,1.027027027
