practice,practice_id,mean,se+mean,se
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,2018.018018,2117.117117,99.0990991
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,2279.279279,2324.324324,45.04504505
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,2684.684685,2774.774775,90.09009009
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,2693.693694,2756.756757,63.06306306
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,1639.63964,1720.720721,81.08108108
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,1828.828829,1918.918919,90.09009009
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,1891.891892,1927.927928,36.03603604
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,1873.873874,1972.972973,99.0990991
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,2117.117117,2207.207207,90.09009009
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,2657.657658,2729.72973,72.07207207
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,2360.36036,2459.459459,99.0990991
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,2315.315315,2405.405405,90.09009009
