,,mean,mean+se,se
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,4.258188825,4.682080925,0.4238921
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,5.529865125,5.992292871,0.462427746
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,5.472061657,5.645472062,0.173410405
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,6.300578035,6.589595376,0.289017341
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,3.526011561,3.641618497,0.115606936
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,4.470134875,4.585741811,0.115606936
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,4.874759152,5.183044316,0.308285164
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,4.450867052,4.643545279,0.192678227
T1 – maize (90 cm row to row and 20 cm plant-to-plant spacing or 90 × 20 cm),C1,5.433526012,5.857418112,0.4238921
T2 – maize (90 × 20 cm) with plastic mulch (alternate row),C2,7.10982659,7.53371869,0.4238921
T3 – maize (90 × 20 cm) cowpea (two rows of cowpea at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows) plastic mulch (alternate row),T1,9.267822736,9.826589595,0.558766859
T4 – maize (90 × 20 cm) soybean (two rows of soybean at 30 × 30 cm spacing by leaving 30 cm spacing from adjacent maize rows plastic mulch (alternate row) followed by wheat,T2,7.822736031,8.59344894,0.770712909
