,,,,,Figure 2b,,,,,,,,,,,,,,,
Bar0,4.914893617,0, Upper,,Oil palm,,Active cacao,,Abandoned pasture,,Young Conuco,,Old Conuco,,Abandoned cacao,,Forest,,Mogote,
Bar0,4.70212766,0, Mean,, Upper, Mean, Upper, Mean, Upper, Mean, Upper, Mean, Upper, Mean, Upper, Mean, Upper, Mean, Upper, Mean
Bar1,5.436170213,1, Upper,,4.914893617,4.70212766,5.436170213,4.914893617,5.436170213,4.925531915,5.372340426,4.606382979,5.989361702,5.372340426,7,6.978723404,5.680851064,5.64893617,9.64893617,8.765957447
Bar1,4.914893617,1, Mean,CI,0.212765957,,0.521276596,,0.510638298,,0.765957447,,0.617021277,,0.021276596,,0.031914894,,0.882978723,
Bar2,5.436170213,2, Upper,,,,,,,,,,,,,,,,,
Bar2,4.925531915,2, Mean,,,,,,,,,,,,,,,,,
Bar3,5.372340426,3, Upper,,,,,,,,,,,,,,,,,
Bar3,4.606382979,3, Mean,,,,,,,,,,,,,,,,,
Bar4,5.989361702,4, Upper,,,,,,,,,,,,,,,,,
Bar4,5.372340426,4, Mean,,,,,,,,,,,,,,,,,
Bar5,7,5, Upper,,,,,,,,,,,,,,,,,
Bar5,6.978723404,5, Mean,,,,,,,,,,,,,,,,,
Bar6,5.680851064,6, Upper,,,,,,,,,,,,,,,,,
Bar6,5.64893617,6, Mean,,,,,,,,,,,,,,,,,
Bar7,9.64893617,7, Upper,,,,,,,,,,,,,,,,,
Bar7,8.765957447,7, Mean,,,,,,,,,,,,,,,,,
