,,Feeding buzzes/night,,SE
Forest bats,Forest,2.642430279, Upper,
,,2.070717131, Mean,0.571713147
,LowM,3.144422311, Upper,
,,2.551792829, Mean,0.592629482
,MedM,0.955179283, Upper,
,,0.634462151, Mean,0.320717131
,HighM,1.248007968, Upper,
,,0.892430279, Mean,0.355577689
Open-space bats,Forest,0.09063745, Upper,
,,0.041832669, Mean,0.048804781
,LowM,0.174302789, Upper,
,,0.104581673, Mean,0.069721116
,MedM,0.355577689, Upper,
,,0.250996016, Mean,0.104581673
,HighM,0.062749004, Upper,
,,0.020916335, Mean,0.041832669
