combo_clean1,CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,water_management_practice,impact,agr_zone,n,neg,pos
Acacia abyssinica + Cordia africana + Croton macrostachyus + Finger Millet + Grevillea robusta,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",4,0.75,0.25
Acacia abyssinica + Cordia africana + Croton macrostachyus + Grevillea robusta + Maize,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",4,0.75,0.25
Acacia abyssinica + Cordia africana + Croton macrostachyus + Grevillea robusta + Teff,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",4,0.75,0.25
Acacia abyssinica + Finger Millet,Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,NA,Product Yield,"Tropics, lowland; humid, with soil/terrain limitations",4,0.75,0.25
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar,NA,NA,Product Yield,Land with severe soil/terrain limitations,3,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar + Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,20,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar + Inorganic Fertilizer + Organic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,24,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Biochar + Organic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,6,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Costs,"Cold, no permafrost; wet, with soil/terrain limitations",4,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Income,"Cold, no permafrost; wet, with soil/terrain limitations",4,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,"Cold, no permafrost; wet, with soil/terrain limitations",4,0,1
Barley,Cereals,NA,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,NA,Product Yield,Land with severe soil/terrain limitations,22,0,1
