CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,active_groups,water_management_practice,impact,n,neg,pos
Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,biomass_management..diversification_temporal..nutrient_management..soil_management,NA,Costs,12,0.5,0.5
Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,biomass_management..diversification_temporal..nutrient_management..soil_management,NA,Income,24,0.5,0.5
Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,biomass_management..diversification_temporal..nutrient_management..soil_management,NA,Non-Product Yield,12,0,1
Cereals,C: Crop rotation_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,biomass_management..diversification_temporal..nutrient_management..soil_management,NA,Product Yield,24,0,1
Cereals,C: Intercropping_vs_T: Intercropping,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,diversification_spatial..nutrient_management,NA,Product Yield,12,0.4166666666666667,0.5833333333333334
Cereals,C: Monoculture_vs_T: Agroforestry,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,biomass_management..diversification_spatial,NA,Product Yield,80,0.4625,0.5375
Cereals,C: Monoculture_vs_T: Agroforestry,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,diversification_spatial..nutrient_management,NA,Product Yield,89,0.3707865168539326,0.6292134831460674
Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,C: Conventional Tillage_vs_T: Conventional Tillage,diversification_spatial..soil_management..water_management,C: Contour bunding_vs_T: Contour bunding,Product Yield,2,1,0
Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,diversification_spatial,NA,Efficiency,43,0,1
Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,diversification_spatial,NA,Non-Product Yield,32,0.25,0.75
Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,diversification_spatial,NA,Product Yield,315,0.5587301587301587,0.44126984126984126
Cereals,C: Monoculture_vs_T: Agroforestry; C: Monoculture_vs_T: Crop rotation,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,diversification_spatial..diversification_temporal..nutrient_management,NA,Product Yield,12,0.9166666666666666,0.08333333333333333
Cereals,C: Monoculture_vs_T: Agroforestry; C: Monoculture_vs_T: Crop rotation,NA,NA,NA,diversification_spatial..diversification_temporal,NA,Product Yield,6,0,1
Cereals,C: Monoculture_vs_T: Agroforestry; C: Monoculture_vs_T: Improved Fallow,NA,NA,NA,diversification_spatial..diversification_temporal,NA,Costs,1,1,0
Cereals,C: Monoculture_vs_T: Agroforestry; C: Monoculture_vs_T: Improved Fallow,NA,NA,NA,diversification_spatial..diversification_temporal,NA,Income,5,0.2,0.8
Cereals,C: Monoculture_vs_T: Crop rotation,C: Crop residues removed_vs_T: Crop residues retained,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,biomass_management..diversification_temporal..nutrient_management..soil_management,NA,Product Yield,54,0.12962962962962962,0.8703703703703703
Cereals,C: Monoculture_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,biomass_management..diversification_temporal..nutrient_management..soil_management,NA,Product Yield,2,0.5,0.5
Cereals,C: Monoculture_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Zero Tillage,biomass_management..diversification_temporal..soil_management,NA,Product Yield,2,0.5,0.5
Cereals,C: Monoculture_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (herbaceus),NA,NA,biomass_management..diversification_temporal,NA,Product Yield,15,0.3333333333333333,0.6666666666666666
Cereals,C: Monoculture_vs_T: Crop rotation,C: Crop residues removed_vs_T: Organic mulch (unspecified),NA,NA,biomass_management..diversification_temporal,NA,Product Yield,26,0.19230769230769232,0.8076923076923077
Cereals,C: Monoculture_vs_T: Crop rotation,C: Crop residues retained_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Reduced Tillage_vs_T: Conventional Tillage,biomass_management..diversification_temporal..nutrient_management..soil_management,NA,Product Yield,14,0.6428571428571429,0.35714285714285715
Cereals,C: Monoculture_vs_T: Crop rotation,C: Crop residues retained_vs_T: Crop residues removed,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Zero Tillage_vs_T: Conventional Tillage,biomass_management..diversification_temporal..nutrient_management..soil_management,NA,Product Yield,14,0.7142857142857143,0.2857142857142857
Cereals,C: Monoculture_vs_T: Crop rotation,C: Organic mulch (herbaceus)_vs_T: Organic mulch (herbaceus),NA,C: Conventional Tillage_vs_T: Zero Tillage,biomass_management..diversification_temporal..soil_management,NA,Product Yield,1,1,0
Cereals,C: Monoculture_vs_T: Crop rotation,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Reduced Tillage,diversification_temporal..nutrient_management..soil_management,NA,Product Yield,6,0,1
Cereals,C: Monoculture_vs_T: Crop rotation,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Reduced Tillage_vs_T: Conventional Tillage,diversification_temporal..nutrient_management..soil_management,NA,Product Yield,6,1,0
Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,diversification_spatial,NA,Non-Product Yield,6,0.6666666666666666,0.3333333333333333
Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,diversification_spatial,NA,Product Yield,6,0.5,0.5
Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,diversification_temporal,NA,Non-Product Yield,1,0,1
Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,diversification_temporal,NA,Product Yield,1,0,1
Cereals,C: Monoculture_vs_T: Green manure,NA,NA,NA,diversification_temporal,NA,Soil Quality,1,0,1
Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,biomass_management..diversification_spatial,NA,Product Yield,36,0.3888888888888889,0.6111111111111112
Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,biomass_management..diversification_spatial,NA,Non-Product Yield,13,0.38461538461538464,0.6153846153846154
