CT_crop_FAO_Food_Group_clean,diversification_spatial_temporal_theme,biomass_management_practice,nutrient_management_practice,soil_management_theme,active_groups,water_management_practice,impact,n,neg,pos
Cereals,C: Intercropping_vs_T: Intercropping,NA,C: No Fertilizers Applied_vs_T: Inorganic Fertilizer,NA,diversification_spatial..nutrient_management,NA,Product Yield,12,0.4166666666666667,0.5833333333333334
Cereals,C: Monoculture_vs_T: Agroforestry,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,diversification_spatial..nutrient_management,NA,Product Yield,9,0.3333333333333333,0.6666666666666666
Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,diversification_spatial,NA,Non-Product Yield,32,0.25,0.75
Cereals,C: Monoculture_vs_T: Agroforestry,NA,NA,NA,diversification_spatial,NA,Product Yield,32,0.3125,0.6875
Cereals,C: Monoculture_vs_T: Agroforestry; C: Monoculture_vs_T: Crop rotation,NA,C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,NA,diversification_spatial..diversification_temporal..nutrient_management,NA,Product Yield,12,0.9166666666666666,0.08333333333333333
Cereals,C: Monoculture_vs_T: Agroforestry; C: Monoculture_vs_T: Crop rotation,NA,NA,NA,diversification_spatial..diversification_temporal,NA,Product Yield,6,0,1
Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues incorporated_vs_T: Crop residues incorporated,NA,NA,biomass_management..diversification_spatial,NA,Product Yield,36,0.3888888888888889,0.6111111111111112
Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,biomass_management..diversification_spatial,NA,Non-Product Yield,13,0.38461538461538464,0.6153846153846154
Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues removed_vs_T: Crop residues removed,NA,NA,biomass_management..diversification_spatial,NA,Product Yield,15,0.5333333333333333,0.4666666666666667
Cereals,C: Monoculture_vs_T: Intercropping,C: Crop residues removed_vs_T: Organic mulch (herbaceus),C: Inorganic Fertilizer_vs_T: Inorganic Fertilizer,C: Conventional Tillage_vs_T: Zero Tillage,biomass_management..diversification_spatial..nutrient_management..soil_management,NA,Product Yield,216,0.8148148148148148,0.18518518518518517
