practice_id,out_comparison_treatment,out_mean_product_component01,out_sd_product_component01,out_mean_product_component02,out_sd_product_component02,out_mean_product_component03,out_sd_product_component03,out_mean_product_component04,out_sd_product_component04,out_mean_product_component05,out_sd_product_component05,study_id,authors,year,journal,doi,country,country_ISO,site_type,site_id,site_admin,site_agg,site_latlong_type,site_latitude,site_longitude,site_buffer,site_key,exp_design,exp_plot_size,exp_field_size,exp_duration,time_raw,time_year_start,time_year_end,time_season,subpractice_description_raw,crop_diversity,crop_variety,crop_density,tree_diversity,tree_density,animal_diversity,animal_breed,animal_density,tillage_subpractice,tillage_method,tillage_method_other,tillage_depth,tillage_frequency,planting_subpractice,planting_method,planting_date_start_end,varietal_crop_variety,varietal_crop_subpractice,varietal_crop_type,varietal_crop_trait,varietal_animal_breed,varietal_animal_subpractice,varietal_animal_type,intercrop_subpractice,intercrop_design,intercrop_pattern,intercrop_start_year,intercrop_start_season,intercrop_residues_fate,crop_seq_subpractice,crop_seq_start_year,crop_seq_start_season,crop_seq_residues_fate,agrof_subpractice,agrof_shade_mean_min_max,agrof_canopy_height_mean_min_max,agrof_dhb_mean_min_max,fert_subpractice,fert_inorganic_category,fert_inorganic_type,fert_inorganic_unit,fert_inorganic_amount,fert_inorganicNPK_unit,fert_inorganicN,fert_inorganicP,fert_inorganicK,fert_inorganicP2O5,fert_inorganicK2O,fert_organic_category,fert_organic_type,fert_organic_unit,fert_organic_amount,fert_organicNPK_unit,fert_organicN,fert_organicP,fert_organicK,fert_organic_source,weed_method,weed_frequency_unit,chem_subpractice,chem_name_amount_unit,residues_subpractice,residues_unit,residues_N,residues_P,residues_K,residues_tree,residues_material,residues_processing,residues_material_source,residues_material_amount_unit,ph_subpractice,ph_material_applied,ph_material_amount_unit,irrig_subpractice,irrig_date_start_end,irrig_water_amount_unit,irrig_water_type,watharv_subpractice,harvest_subpractice,harvest_date_start_end,harvest_days_after_planting,postharvest_subpractice,postharvest_date_start_end,postharvest_days_after_storage,subpractice,product_component_focal_yield,product_component,econ_inputs,bio_func_group,bio_ground_ref,out_subindicator,out_indicator,out_subpillar,out_pillar,out_subindicator_unit,out_soil_depth_u,out_soil_depth_l,data_location,out_year,out_year_start,out_year_end,out_season_start,out_season_end,out_mean,out_sd,out_sample_size,effect_size_type
C2,T1..T2..T3..T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",400,Unspecified,3,2012/13-2014/15 no manure,2012,2015,Unspecified,ii CA + sole maize continuous (F only),Maize,Unspecified,44000(plants/ha),,,,,,No or Zero Tillage,NA,NA,NA,NA,NA,Direct-seeding Planter,,NA,NA,NA,NA,NA,NA,NA,Monoculture,NA,NA,NA,NA,NA,Monoculture,NA,NA,NA,,,,,NA,Inorganic,Compound D..Ammonium Nitrate,kg/ha,240..200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Herbicide-No Inoculation Applied-No Insecticide Applied,glyphosate:2.5(l/ha)-NA-NA,Mulch (Non N fixing),NA,Unspecified,Unspecified,Unspecified,NA,Hyparrhenia Grass Species,Unspecified,Unspecified,2500(kg/ha),NA,NA,,NA,,,NA,,NA,,NA,,,NA,No or Zero Tillage-Monoculture-Monoculture-Herbicide-No Inoculation Applied-No Insecticide Applied-Mulch (Non N fixing),Mixed Forage,Maize Stover,Inorganic Fertilizer..Seeds..Labor Cost..Organic Mulch..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3a,NA,2012,2015,NA,NA,588.8324873096444,416.36744475959097,8,Standardized Mean Difference
C1,C2..T1..T2..T3..T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",400,Unspecified,3,2012/13-2014/15 no manure,2012,2015,Unspecified,i CT + sole maize continuous (F only),Maize,Unspecified,44000(plants/ha),,,,,,Conventional Tillage,Ox-drawn Mouldboard Plough,NA,Unspecified,1,NA,Direct-seeding Planter,,NA,NA,NA,NA,NA,NA,NA,Monoculture,NA,NA,NA,NA,NA,Monoculture,NA,NA,NA,,,,,NA,Inorganic,Compound D..Ammonium Nitrate,kg/ha,240..200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Hand Hoe-No Inoculation Applied-No Insecticide Applied,,No mulch Applied,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,,NA,Conventional Tillage-Monoculture-Monoculture-Hand Hoe-No Inoculation Applied-No Insecticide Applied-No mulch Applied,Mixed Forage,Maize Stover,Inorganic Fertilizer..Seeds..Labor Cost..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3a,NA,2012,2015,NA,NA,578.6802030456851,488.1549352353816,8,Standardized Mean Difference
T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",400,Unspecified,3,2012/13-2014/15 no manure,2012,2015,Unspecified,iii CA + maize + cowpea intercropping (F only),Maize-Cowpea,Unspecified-Unspecified,44000(plants/ha)-44444(plants/ha),,,,,,No or Zero Tillage,NA,NA,NA,NA,NA,Direct-seeding Planter..Hand hoes,,NA,NA,NA,NA,NA,NA,NA,Relay Intercropping (N fixing),Additive,Row,2012,Unspecified,Removed,,NA,NA,NA,,,,,NA,Inorganic,Compound D..Ammonium Nitrate,kg/ha,240..200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Herbicide-No Inoculation Applied-Insecticide,glyphosate:2.5(l/ha)-NA-carbaryl:Unspecified,Mulch (Non N fixing),NA,Unspecified,Unspecified,Unspecified,NA,Hyparrhenia Grass Species,Unspecified,Unspecified,2500(kg/ha),NA,NA,,NA,,,NA,,NA,,NA,,,NA,No or Zero Tillage-Relay Intercropping (N fixing)-Herbicide-No Inoculation Applied-Insecticide-Mulch (Non N fixing),NA,Maize Stover-Maize Grain-Cowpea Dried,Inorganic Fertilizer..Seeds..Pesticides...Labor Cost..Organic Mulch..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3a,NA,2012,2015,NA,NA,639.5939086294416,258.4349657128513,8,Standardized Mean Difference
T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",400,Unspecified,3,2012/13-2014/15 no manure,2012,2015,Unspecified,vi CA + soybean/groundnut + maize rotation (legume phase)  (F only),Soybean/Groundnut or Peanut/Maize,Unspecified/Unspecified/Unspecified,44444(plants/ha)/148000(plants/ha)/44000(plants/ha),,,,,,No or Zero Tillage,NA,NA,NA,NA,NA,Direct-seeding Planter,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rotation (N fixing),Unspecified,Unspecified,Removed,,,,,NA,Inorganic,Compound D..Ammonium Nitrate..Gypsum,kg/ha,240..200..Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Herbicide-Seed inoculation-No Insecticide Applied,glyphosate:2.5(l/ha)-Rhizobium leguminosarium:Unspecified-NA,Mulch (Non N fixing),NA,Unspecified,Unspecified,Unspecified,NA,Hyparrhenia Grass Species,Unspecified,Unspecified,2500(kg/ha),NA,NA,,NA,,,NA,,NA,,NA,,,NA,No or Zero Tillage-Rotation (N fixing)-Herbicide-Seed inoculation-No Insecticide Applied-Mulch (Non N fixing),NA,Maize Stover-Maize Grain-Soybean Dried,Inorganic Fertilizer..Seeds..Labor Cost..Organic Mulch..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3a,NA,2012,2015,NA,NA,720.8121827411165,229.71996952253284,8,Standardized Mean Difference
T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",400,Unspecified,3,2012/13-2014/15 no manure,2012,2015,Unspecified,iv CA + maize + mucuna intercropping (F only),"Maize-Velvet Bean, Mucuna",Unspecified-Unspecified,44000(plants/ha)-44444(plants/ha),,,,,,No or Zero Tillage,NA,NA,NA,NA,NA,Direct-seeding Planter..Hand hoes,,NA,NA,NA,NA,NA,NA,NA,Relay Intercropping (N fixing),Additive,Row,2012,Unspecified,Removed,,NA,NA,NA,,,,,NA,Inorganic,Compound D..Ammonium Nitrate,kg/ha,240..200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Herbicide-No Inoculation Applied-Insecticide,glyphosate:2.5(l/ha)-NA-carbaryl:Unspecified,Mulch (Non N fixing),NA,Unspecified,Unspecified,Unspecified,NA,Hyparrhenia Grass Species,Unspecified,Unspecified,2500(kg/ha),NA,NA,,NA,,,NA,,NA,,NA,,,NA,No or Zero Tillage-Relay Intercropping (N fixing)-Herbicide-No Inoculation Applied-Insecticide-Mulch (Non N fixing),NA,Maize Stover-Maize Grain-Mucuna pruriens Dried,Inorganic Fertilizer..Seeds..Labor Cost..Organic Mulch..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3a,NA,2012,2015,NA,NA,1385.786802030457,1306.5323266594012,8,Standardized Mean Difference
T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",400,Unspecified,3,2012/13-2014/15 no manure,2012,2015,Unspecified,v CA + maize + soybean/groundnut rotation (maize phase)  (F only),Maize/Soybean/Groundnut or Peanut,Unspecified/Unspecified/Unspecified,44000(plants/ha)/444444(plants/ha)/148000(plants/ha),,,,,,No or Zero Tillage,NA,NA,NA,NA,NA,Direct-seeding Planter,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rotation (Non N fixing),Unspecified,Unspecified,Removed,,,,,NA,Inorganic,Compound D..Ammonium Nitrate..Gypsum,kg/ha,240..200..Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Herbicide-Seed inoculation-No Insecticide Applied,glyphosate:2.5(l/ha)-Rhizobium leguminosarium:Unspecified-NA,Mulch (Non N fixing),NA,Unspecified,Unspecified,Unspecified,NA,Hyparrhenia Grass Species,Unspecified,Unspecified,2500(kg/ha),NA,NA,,NA,,,NA,,NA,,NA,,,NA,No or Zero Tillage-Rotation (Non N fixing)-Herbicide-Seed inoculation-No Insecticide Applied-Mulch (Non N fixing),NA,Maize Stover-Maize Grain-Soybean Dried,Inorganic Fertilizer..Seeds..Labor Cost..Organic Mulch..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3a,NA,2012,2015,NA,NA,487.30964467005066,143.57498095158363,8,Standardized Mean Difference
C1,C2..T1..T2..T3..T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",200,Unspecified,1,2014/15 season,2014,2015,Unspecified,i CT + sole maize continuous (F only),Maize,Unspecified,44000(plants/ha),,,,,,Conventional Tillage,Ox-drawn Mouldboard Plough,NA,Unspecified,1,NA,Direct-seeding Planter,,NA,NA,NA,NA,NA,NA,NA,Monoculture,NA,NA,NA,NA,NA,Monoculture,NA,NA,NA,,,,,NA,Inorganic,Compound D..Ammonium Nitrate,kg/ha,240..200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Hand Hoe-No Inoculation Applied-No Insecticide Applied,,No mulch Applied,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,,NA,Conventional Tillage-Monoculture-Monoculture-Hand Hoe-No Inoculation Applied-No Insecticide Applied-No mulch Applied,NA,Maize Stover-Maize Grain,Inorganic Fertilizer..Seeds..Labor Cost..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3b,NA,2014,2015,NA,NA,531.496063,723.8100915128616,8,Standardized Mean Difference
C2,T1..T2..T3..T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",200,Unspecified,1,2014/15 season,2014,2015,Unspecified,ii CA + sole maize continuous (F only),Maize,Unspecified,44000(plants/ha),,,,,,No or Zero Tillage,NA,NA,NA,NA,NA,Direct-seeding Planter,,NA,NA,NA,NA,NA,NA,NA,Monoculture,NA,NA,NA,NA,NA,Monoculture,NA,NA,NA,,,,,NA,Inorganic,Compound D..Ammonium Nitrate,kg/ha,240..200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Herbicide-No Inoculation Applied-No Insecticide Applied,glyphosate:2.5(l/ha)-NA-NA,Mulch (Non N fixing),NA,Unspecified,Unspecified,Unspecified,NA,Hyparrhenia Grass Species,Unspecified,Unspecified,2500(kg/ha),NA,NA,,NA,,,NA,,NA,,NA,,,NA,No or Zero Tillage-Monoculture-Monoculture-Herbicide-No Inoculation Applied-No Insecticide Applied-Mulch (Non N fixing),NA,Maize Stover-Maize Grain,Inorganic Fertilizer..Seeds..Labor Cost..Organic Mulch..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3b,NA,2014,2015,NA,NA,393.700787,668.132390425148,8,Standardized Mean Difference
T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",200,Unspecified,1,2014/15 season,2014,2015,Unspecified,iii CA + maize + cowpea intercropping (F only),Maize-Cowpea,Unspecified-Unspecified,44000(plants/ha)-44444(plants/ha),,,,,,No or Zero Tillage,NA,NA,NA,NA,NA,Direct-seeding Planter..Hand hoes,,NA,NA,NA,NA,NA,NA,NA,Relay Intercropping (N fixing),Additive,Row,2012,Unspecified,Removed,,NA,NA,NA,,,,,NA,Inorganic,Compound D..Ammonium Nitrate,kg/ha,240..200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Herbicide-No Inoculation Applied-Insecticide,glyphosate:2.5(l/ha)-NA-carbaryl:Unspecified,Mulch (Non N fixing),NA,Unspecified,Unspecified,Unspecified,NA,Hyparrhenia Grass Species,Unspecified,Unspecified,2500(kg/ha),NA,NA,,NA,,,NA,,NA,,NA,,,NA,No or Zero Tillage-Relay Intercropping (N fixing)-Herbicide-No Inoculation Applied-Insecticide-Mulch (Non N fixing),NA,Maize Stover-Maize Grain-Cowpea Dried-Nitrogen ﬁxation,Inorganic Fertilizer..Seeds..Pesticides...Labor Cost..Organic Mulch..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3b,NA,2014,2015,NA,NA,629.92126,612.4546921658614,8,Standardized Mean Difference
T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA_Mutsa_20_Forag_NJ,"Mutsamba, EF; Nyagumbo, I; Mupangwa, W",2020,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,10.1016/j.njas.2019.100317,Zimbabwe,ZWE,Farmer Managed,Murehwa,District,No,Original,-17.71666667,31.65,Unspecified,31.65 -17.71666667 BUnspecified,"The experiment was laid out in a randomized complete block design and was run at eight farmer’s ﬁelds for three seasons from 2012/ 13–2014/15. Prior to the experiment, all ﬁelds were under conventional mouldboard tillage (CT) and had maize during the 2011/12 season. Each farmer was treated as a replicate with a set of six treatments testing ﬁve cropping systems where one system was CT and the other four systems were under CA. The six treatments were:",200,Unspecified,1,2014/15 season,2014,2015,Unspecified,iv CA + maize + mucuna intercropping (F only),"Maize-Velvet Bean, Mucuna",Unspecified-Unspecified,44000(plants/ha)-44444(plants/ha),,,,,,No or Zero Tillage,NA,NA,NA,NA,NA,Direct-seeding Planter..Hand hoes,,NA,NA,NA,NA,NA,NA,NA,Relay Intercropping (N fixing),Additive,Row,2012,Unspecified,Removed,,NA,NA,NA,,,,,NA,Inorganic,Compound D..Ammonium Nitrate,kg/ha,240..200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hand Hoe,Unspecified(Unspecified),Herbicide-No Inoculation Applied-Insecticide,glyphosate:2.5(l/ha)-NA-carbaryl:Unspecified,Mulch (Non N fixing),NA,Unspecified,Unspecified,Unspecified,NA,Hyparrhenia Grass Species,Unspecified,Unspecified,2500(kg/ha),NA,NA,,NA,,,NA,,NA,,NA,,,NA,No or Zero Tillage-Relay Intercropping (N fixing)-Herbicide-No Inoculation Applied-Insecticide-Mulch (Non N fixing),NA,Maize Stover-Maize Grain-Mucuna pruriens Dried-Nitrogen ﬁxation,Inorganic Fertilizer..Seeds..Pesticides...Labor Cost..Organic Mulch..Herbicides,NA,NA,Gross Margin,Income,Economics,Productivity,USD/ha,NA,NA,Fig 3b,NA,2014,2015,NA,NA,2086.61417,556.7769939065747,8,Standardized Mean Difference
