field_name,data_type,description,Example
study_id,Character,"Each paper is assigned a unique code that can be used to identify the source of the data in the database. The code consists of <study_type>_<authors>_<year>_<title_<journal>, using the first 5 letters of the first author, last two digits of publication year, first 5 letters of the title, and first 2 letters of the journal.","JA_Sun, _21_Crop _AG"
effect_size_id,Numeric,A unique number identifiying an single observation (i.e. row) in ERA.,NA
authors,Character,"The name of the first author, last name comes first with no punctuation. Use all initials given and do not include spaces between initials.",Bucagu C 
title,NA,NA,NA
year,Positive Integer,The year of publication.,NA
journal,Character,Abbreviation of the journal name. We use WoS abbreviations that can be found here: https://images.webofknowledge.com/images/help/WOS/A_abrvjt.html This field will autofill using the data in the Levels tab matching to the user selected journal name.,Soil & Tillage Research = STR 
doi,Character,DOI (or url if no DOI available) of article. DOI = Digital Object Identifier.,NA
country,Character,"Country Name. When study was performed in multiple countries, country names are separated by .. (e.g., Kenya..Ghana)",Kenya
country_ISO,Character,"Standardized country name using ISO.3166-1.alpha-3. This field should be auto filled using the country selected and data in the Levels Tab. When study was performed in multiple countries, country iso names are separated by .. (e.g., KEN..GHA)",KEN
C_country,Character,"Country Name. When study was performed in multiple countries, country names are separated by .. (e.g., Kenya..Ghana)",NA
C_site_type,Character,"One of the following: Farm, Station, Greenhouse, Survey, or Lab. When study was performed in multiple countries, site_type names are separated by .. (e.g., Farm..Station)
Farm research is conducted in a farmer’s field and can be managed by the farmer or researcher. 
Station research is conducted in a controlled setting of research station, university or school. 
Survey research is conducted via interviews that yields quantitative data based on testimonial. 
Greenhouse is conducted in a greenhouse and is only relevant for studies of greenhouse gas emissions data. 
Lab studies can include fisheries feeding trials conducted at a small scale in university research labs. ",NA
C_site_id,Character,"Free text name to identify the site. Include institution/station name and location or village/town in county/district, but not the country. When study was performed in multiple countries, site_id names are separated by .. (e.g., Chitedze ARS, Lilongwe..Murehua)",NA
C_site_admin,Character,"A qualitative measure of how accurate you think the location reporting is. If the study is at a research station, but we only know the location of the city where the station is,  we record ""City"". If we know the exact location of the station record ""Facility"". When study was performed in multiple countries, site_admin are separated by .. (e.g., District..County)",NA
C_site_agg,Character,"Does the location contain sub-locations?. State yes if a paper reports a general location which contains sub-locations that you do not know the co-ordinates of. For example a paper might state ""we repeated the experiment on 10 farms in 5 villages in Busia county, Kenya"" so we have a county location and know there are 5 village sub-locations in this county, we don't know where these villages are and results are reported averaged across all the farms and villages. If we know the location or names of the villages (e.g. results are reported per village) then we create one site per village and state ""no"" in this field. When study was performed in multiple countries, site_agg are separated by .. (e.g., No..Yes)",NA
C_site_latlong_type,Character,"Source and derivation type of the geographic coordinates associated with the study site. Indicates whether coordinates were directly reported in the publication or derived during data extraction. When study was performed in multiple countries, site_latlong_type are separated by .. (e.g., Original..Middle point)",NA
C_site_latitude,Numeric,"Latitude of study location in degrees or decimal degrees, the latter recorded to same accuracy as in publication (or estimated from googlemaps where locations were found from site names/descriptions. When study was performed in multiple countries, latitudes are separated by ..",NA
C_site_longitude,Numeric,"Longitude of study location in degrees or decimal degrees, the latter recorded to same accuracy as in publication (or estimated from googlemaps where locations were found from site names/descriptions. When study was performed in multiple countries, longitude are separated by ..",NA
C_site_buffer,Character,"Manual estimation (e.g. from measuring on google earth) in m of the spatial uncertainty for a point location. The site should within an X m radius (the buffer.manual amount) of the point location specified. Unit is meters. When study was performed in multiple countries, site_buffer are separated by ..",NA
C_site_key,Character,"Longitude, latitude and buffer for the site",NA
T_country,Character,"Country Name. When study was performed in multiple countries, country names are separated by .. (e.g., Kenya..Ghana)",NA
T_site_type,Character,"One of the following: Farm, Station, Greenhouse, Survey, or Lab. When study was performed in multiple countries, site_type names are separated by .. (e.g., Farm..Station)
Farm research is conducted in a farmer’s field and can be managed by the farmer or researcher. 
Station research is conducted in a controlled setting of research station, university or school. 
Survey research is conducted via interviews that yields quantitative data based on testimonial. 
Greenhouse is conducted in a greenhouse and is only relevant for studies of greenhouse gas emissions data. 
Lab studies can include fisheries feeding trials conducted at a small scale in university research labs. ",NA
T_site_id,Character,"Free text name to identify the site. Include institution/station name and location or village/town in county/district, but not the country. When study was performed in multiple countries, site_id names are separated by .. (e.g., Chitedze ARS, Lilongwe..Murehua)",NA
T_site_admin,Character,"A qualitative measure of how accurate you think the location reporting is. If the study is at a research station, but we only know the location of the city where the station is,  we record ""City"". If we know the exact location of the station record ""Facility"". When study was performed in multiple countries, site_admin are separated by .. (e.g., District..County)",NA
T_site_agg,Character,"Does the location contain sub-locations?. State yes if a paper reports a general location which contains sub-locations that you do not know the co-ordinates of. For example a paper might state ""we repeated the experiment on 10 farms in 5 villages in Busia county, Kenya"" so we have a county location and know there are 5 village sub-locations in this county, we don't know where these villages are and results are reported averaged across all the farms and villages. If we know the location or names of the villages (e.g. results are reported per village) then we create one site per village and state ""no"" in this field. When study was performed in multiple countries, site_agg are separated by .. (e.g., No..Yes)",NA
T_site_latlong_type,Character,"Source and derivation type of the geographic coordinates associated with the study site. Indicates whether coordinates were directly reported in the publication or derived during data extraction. When study was performed in multiple countries, site_latlong_type are separated by .. (e.g., Original..Middle point)",NA
T_site_latitude,Numeric,"Latitude of study location in degrees or decimal degrees, the latter recorded to same accuracy as in publication (or estimated from googlemaps where locations were found from site names/descriptions. When study was performed in multiple countries, latitudes are separated by ..",NA
T_site_longitude,Numeric,"Longitude of study location in degrees or decimal degrees, the latter recorded to same accuracy as in publication (or estimated from googlemaps where locations were found from site names/descriptions. When study was performed in multiple countries, longitude are separated by ..",NA
T_site_buffer,Character,"Manual estimation (e.g. from measuring on google earth) in m of the spatial uncertainty for a point location. The site should within an X m radius (the buffer.manual amount) of the point location specified. Unit is meters. When study was performed in multiple countries, site_buffer are separated by ..",NA
T_site_key,Character,"Longitude, latitude and buffer for the site",NA
exp_design,Character,A plan specification that states how treatments are allocated to the experimental units during an agronomic trial. It refers to the conceptual framework within which the experiment is conducted. Source: AGRO,NA
C_exp_plot_size,Numeric,"The size of a treatment and control plots in the experiment in meter squares, if variable use the mean value or mid-point of the size range.",NA
T_exp_plot_size,Numeric,"The size of a treatment and control plots in the experiment in meter squares, if variable use the mean value or mid-point of the size range.",NA
C_exp_field_size,Numeric,Field size in hectares,2.6 10.8
T_exp_field_size,Numeric,Field size in hectares,2.6 10.8
exp_duration,Numeric,"Length of time the experiment has been ongoing up to the date the data are being reported for in years. In bimodal rainfall systems with multiple growing seasons, seasons are identified by fractions of the year, 0.5, etc. If outcomes are reported in a unimodal rainfall system with one growing season per year, the duration can be equivalent to one year.",0.5 1 5
time_raw,NA,Complete with the specific time period name the study provide,NA
time_year_start,NA,Year when the experiment started. Year Start as stated by the author,NA
time_year_end,NA,Year when the experiment stopped. Year End as stated by the author,NA
time_season,NA,Season as stated by the author,NA
C_subpractice_description_raw,Character,Free text description of the control practice practice. Use sufficient detail to easily identify the practices.,Conventional tillage with 20 kg N/ha
