pillar,subpillar,indicator,subindicator,subindicator_short,subindicator_definition,subindicator_details,notes,Example units,Negative Values,Sign,TC.Ratio,Not.Perc,Depreciated,Previous.Names,source,effect_size_type,effect_size_ref,effect_size_logic,effect_size_logic_ref
Mitigation,Carbon Stocks,Carbon Stocks,Aboveground Carbon Biomass,C Stock (Above),Stock or amount of carbon in above ground biomass.,NA,"Do not record change from baseline here, outcomes should be the value on the sampling date. If change from baseline data are presented consider converting to the values on the sampling date if the baseline line values are available too.",kg/ha; Mg/ha,N,p,N,Y,FALSE,Aboveground Biomass,ERA,Log Response Ratio,NA,NA,NA
Mitigation,Carbon Stocks,Carbon Stocks,Belowground Carbon Biomass,C Stock (Below),Stock or amount of carbon in below ground biomass.,NA,"Do not record change from baseline here, outcomes should be the value on the sampling date. If change from baseline data are presented consider converting to the values on the sampling date if the baseline line values are available too. This is the amount carbon in soil biomass, if total carbon is presented use the Soil Carbon Stocks outcome.",kg/ha; Mg/ha,N,p,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Mitigation,Carbon Stocks,Carbon Stocks,Soil Carbon Stocks,Soil Carbon Stocks,Quantity in carbon pool or stock as total carbon and reported on soil profiles of at least 30cm or more.,NA,"Note soil organic carbon or soil organic matter are reported in outcomes under the resilience pillar. Do not record change from baseline here, outcomes should be the value on the sampling date. If change from baseline data are presented consider converting to the values on the sampling date if the baseline line values are available too.",g/kg; %; kg/ha; Mg/ha,N,p,N,N,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Mitigation,Cookstove,Costs,Fuel Use,Fuel Use,Amount of fuel used in a cookstove.,NA,NA,kg; kg/day,N,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Mitigation,Cookstove,Fuel Efficiency,Cooking Time,Cooking Time,Time taken to cook a particular food.,NA,NA,min; sec,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Mitigation,Cookstove,Fuel Efficiency,Cookstove Emissions,Cookstove Emissions,"Emissions of gases (e.g CO) or particulate matter (e.g PM2.5) other than those in the Emissions outcome subpillar (not CO2, Methane, NOx, CO2e).",NA,NA,mg/m3; mg min; g/kg fuel,Y,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Mitigation,Cookstove,Fuel Efficiency,Fuel Savings,Fuel Savings,Amount of fuel saved by using a cookstove.,NA,"Note directionality is important here and it should be positive. Percentages or proportions should indicate fuel saved, so higher values indicate a better outcome.",kg; kg/day; kg/l; %,N,p,Y,N,FALSE,NA,ERA,NA,NA,NA,NA
Mitigation,Cookstove,Fuel Efficiency,Specific Fuel Use,Specific Fuel Use,Ratio of fuel consumed to food cooked (e.g. kg fuel used/kg food cooked).,NA,Units can be absent as the outcome is a ratio.,kg/kg,N,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Mitigation,Emissions,Emissions,Carbon Dioxide Emissions,CO2,Flux (emissions or consumption)of carbon dioxide (CO2) over time.,NA,NA,kg/ha/yr; kg/ha; kg/yr,Y,n,N,Y,FALSE,Carbon dioxide emissions,ERA,Log Response Ratio,NA,NA,NA
Mitigation,Emissions,Emissions,CO2 Equivalent Emissions,CO2 Equivalent,"Emissions over time expressed as CO2 equivalent (e.g. CO2e, CO2eq or CO2-e), often expressed as emissions per area.",NA,Note emissions per unit production should be recorded under Emissions Intensity.,kg/ha/yr; kg/ha,Y,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,NA,NA
Mitigation,Emissions,Emissions,Emissions Intensity,Emissions Intensity,Emissions per unit of output (e.g. kg CO2 per kg grain). Cumulative emissions relative to production.,NA,Emissions intensity is typically standardized radiative forcing over 100 yr time (CO2eq) for 1 or more gases added together per unit product (kg).,t CO2 eq/t grain/yr,Y,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Mitigation,Emissions,Emissions,Methane Emissions,CH4,Flux (emissions or consumption) of methane (CH4) over time.,NA,NA,kg/ha/yr; kg/ha,Y,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Mitigation,Emissions,Emissions,Nitrous Oxide Emissions,NOx,"Flux (emissions or consumption) of nitrous oxides (NOx, NO or NO2) over time.",NA,NA,kg/ha/yr; kg/ha,Y,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Other,Livestock Diet,Feed Intake,Feed Intake,Feed Intake,The amount of a diet consumed per unit time.,NA,NA,NA,N,n,N,Y,FALSE,NA,ERA,NA,NA,NA,NA
Productivity,Economics,Costs,Fixed Cost,Fixed Cost,"Cost that are constant whatever the amount of goods produced, for example land rental costs.",NA,Only use this outcome if it is unclear whether total cost is per asset (e.g. cost per ha of land or animal) or per unit of production (e.g. cost per kg of meat or grain produced). Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper record values in the local currency using the ISO 4217 country currency code in the units.,USD per ?,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Fixed Cost per Asset,Fixed Cost/Asset,Fixed production costs per asset. For example USD per ha of farmland or USD per animal.,NA,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the fixed cost per unit product outcome.,USD/ha;USD/animal;USD,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Fixed Cost per Unit Product,Fixed Cost/Unit,Fixed production costs per unit of commodity produced. For example USD per kg maize produced or USD per kg of animal weight gained.,NA,"Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit area, animal or some other asset please use the fixed cost per asset product outcome.",USD/kg;USD/ton,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Labour Cost,Lab Cost,Labour costs only.,NA,Only use this outcome if it is unclear whether labour costs are per asset (e.g. cost per ha of land or animal) or per unit of production (e.g. cost per kg of meat or grain produced). Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper record values in the local currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the labour cost per unit product outcome.,USD,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Labour Cost per Asset,Lab Cost/Asset,Labour costs per asset. For example USD per ha of farmland or USD per animal.,NA,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper record values in the local currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the labour cost per unit product outcome.,USD/ha;USD/animal;USD,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Labour Cost per Unit Product,Lab Cost/Unit,Labour costs per unit of commodity produced. For example USD per kg maize produced or USD per kg of animal weight gained.,NA,"Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit area, animal or some other asset please use the labourcost per asset product outcome.",USD/kg;USD/ton,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Total Cost,Total Cost,Total production costs.,NA,Only use this outcome if it is unclear whether total cost is per asset (e.g. cost per ha of land or animal) or per unit of production (e.g. cost per kg of meat or grain produced). Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD/ha,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Total Cost (Unconfirmed),Total Cost (Unc),"Total costs are stated in a publication, but there is insufficient methodological detail about the included costs to confirm this.",NA,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD/ha,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Total Cost per Asset,Total Cost/Asset,Total production costs per asset. For example USD per ha of farmland or USD per animal.,NA,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD/ha;USD/animal;USD,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Total Cost per Unit Product,Total Cost/Unit,Total production costs per unit of commodity produced. For example USD per kg maize produced or USD per kg of animal weight gained.,NA,"Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit area, animal or some other asset please use the total cost per asset product outcome.",USD/kg;USD/ton,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Variable Cost,Var Cost,"Costs of inputs (labour, seeds, fertilizers, herbicides, tilling, etc.) that vary with the level of output. The total variable cost can include labour, but record the individual cost of labour using the ""Labour Cost"" subindicator.",NA,Only use this outcome if it is unclear whether variable costs are per asset (e.g. cost per ha of land or animal) or per unit of production (e.g. cost per kg of meat or grain produced).Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper record values in the local currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Variable Cost per Asset,Var Cost/Asset,Variable production costs per asset. For example USD per ha of farmland or USD per animal.,NA,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD/ha;USD/animal;USD,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Costs,Variable Cost per Unit Product,Var Cost/Unit,Variable production costs per unit of commodity produced. For example USD per kg maize produced or USD per kg of animal weight gained.,NA,"Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit area, animal or some other asset please use the variable cost per asset product outcome.",USD/kg;USD/ton,N,n,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMTC),BC Ratio (GMTC),The ratio of gross margin to variable costs (gross margin/total costs).,NA,NA,NA,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Benefit Cost Ratio (GMVC),BC Ratio (GMVC),The ratio of gross margin to variable costs (gross margin/variable costs).,NA,NA,Unitless ratio,Y,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Benefit Cost Ratio (GRTC),BC Ratio (GRTC),The ratio of gross return to total costs (gross returns/total costs).,NA,NA,Unitless ratio,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Benefit Cost Ratio (GRVC),BC Ratio (GRVC),The ratio of gross returns to variable costs (gross returns/variable costs).,NA,NA,Unitless ratio,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Benefit Cost Ratio (NRTC),BC Ratio (NRTC),The ratio of net returns to variable costs (net returns/total costs).,NA,NA,Unitless ratio,Y,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Benefit Cost Ratio (NRVC),BC Ratio (NRVC),The ratio of net returns to variable costs (net returns/variable costs).,NA,NA,Unitless ratio,Y,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
Productivity,Economics,Economic Performance,Benefit Cost Ratio (Unspecified),BC Ratio (Unsp.),The ratio of benefits to costs when the exact formulation is not specified.,NA,NA,Unitless ratio,N,p,N,Y,FALSE,NA,ERA,Log Response Ratio,NA,"The response ratio (R) is often used in ecology. This effect size is only meaningful when the outcome has a natural zero point, but when this condition holds, it provides a unique perspective on the effect size.",Sanchez et al. (2022). Financial profitability of diversified farming systems: A global meta-analysis
