 "code" , "broader" , "label_en" , "label_ar" , "label_zh" , "label_es" , "label_fr" , "label_ru" , "alternative_label" , "definition" , "note" , "concept" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "01" ,   , "WOOD IN THE ROUGH (ROUNDWOOD)" ,   ,   ,   ,   ,   ,   , "All roundwood felled or otherwise harvested and removed. It comprises all wood obtained from removals, i.e. the quantities removed from forests and from trees outside the forest, including wood recovered from natural, felling and logging losses during the period, calendar year or forest year. It includes all wood removed with or without bark, including wood removed in its round form, or split, roughly squared or in other form (e.g. branches, roots, stumps and burls, where these are harvested) and wood that is roughly shaped or pointed. It is an aggregate comprising wood fuel, including wood for charcoal and industrial roundwood (wood in the rough).

Coniferous
All woods derived from trees classified botanically as Gymnospermae, e.g. Abies spp., Araucaria spp., Cedrus spp., Chamaecyparis spp., Cupressus spp., Larix spp., Picea spp., Pinus spp., Thuja spp., Tsuga spp., etc. These are generally referred to as softwoods.

Non-coniferous 
All woods derived from trees classified botanically as Angiospermae, e.g. Acer spp., Dipterocarpus spp., Entandrophragma spp., Eucalyptus spp., Fagus spp., Populus spp., Quercus spp., Shorea spp., Swietenia spp., Tectona spp., etc. These are generally referred to as broadleaves or hardwoods.

Non-coniferous tropical 
Tropical timber is defined in the International Tropical Timber Agreement (1994) as follows: “Non-coniferous tropical wood for industrial uses, which grows or is produced in the countries situated between the Tropic of Cancer and the Tropic of Capricorn. The term covers logs, sawnwood, veneer sheets and plywood. Plywood which includes in some measure conifers of tropical origin shall also be covered by the definition.”

Non-Coniferous other 
All woods derived from trees classified botanically as Angiospermae, e.g. Acer spp., Eucalyptus spp., Fagus spp., Populus spp., Quercus spp., etc. other than tropical." ,   , "https://stats.fao.org/classifications/FPCD/v2022/01" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011." , "01" , "WOOD FUEL (INCLUDING WOOD FOR CHARCOAL)" ,   ,   ,   ,   ,   ,   , "Roundwood that will be used as fuel for purposes such as cooking, heating or power production. 
It includes wood harvested from main stems, branches and other parts of trees (where these are harvested for fuel) and wood that will be used for the production of charcoal (e.g. in pit kilns and portable ovens), wood pellets and other agglomerates. It also includes wood chips to be used for fuel that are made directly (i.e. in the forest) from roundwood. 
It excludes wood charcoal, pellets and other agglomerates." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011." ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.1" , "011." , "Wood fuel from the main stem and branches" ,   ,   ,   ,   ,   ,   , "Roundwood that will be used as fuel for purposes such as cooking, heating or power production. 
It includes wood harvested from main stems, branches and other parts of trees (where these are harvested for fuel) and wood that will be used for the production of charcoal (e.g. in pit kilns and portable ovens), wood pellets and other agglomerates. It also includes wood chips to be used for fuel that are made directly (i.e. in the forest) from roundwood. 
It excludes wood charcoal, pellets and other agglomerates." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.1" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.11" , "011.1" , "Wood fuel from the main stem and branches, coniferous" ,   ,   ,   ,   ,   ,   , "It includes wood from main stem and branches where these are harvested for fuel. It also includes wood chips to be used for fuel that are made directly (i.e. in the forest) from roundwood." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.11" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.111" , "011.11" , "Wood fuel, coniferous, for pellets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.111" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.119" , "011.11" , "Wood fuel, coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.119" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.12" , "011.1" , "Wood fuel from the main stem and branches, tropical non-coniferous" ,   ,   ,   ,   ,   ,   , "It includes wood from main stem and branches where these are harvested for fuel. It also includes wood chips to be used for fuel that are made directly (i.e. in the forest) from roundwood." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.12" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.121" , "011.12" , "Wood fuel, tropical non-coniferous, for pellets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.121" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.129" , "011.12" , "Wood fuel, tropical non-coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.129" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.19" , "011.1" , "Other wood fuel from the main stem and branches" ,   ,   ,   ,   ,   ,   , "It includes wood from main stem and branches where these are harvested for fuel. It also includes wood chips to be used for fuel that are made directly (i.e. in the forest) from roundwood." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.19" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.191" , "011.19" , "Other wood fuel from main stem and branches, for pellets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.191" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.199" , "011.19" , "Other wood fuel from main stem and branches, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.199" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9" , "011." , "Other wood fuel (tops, small branches and twigs; stumps and roots; bark)" ,   ,   ,   ,   ,   ,   , "Roundwood that will be used as fuel for purposes such as cooking, heating or power production. 
It includes wood harvested from main stems, branches and other parts of trees (where these are harvested for fuel) and wood that will be used for the production of charcoal (e.g. in pit kilns and portable ovens), wood pellets and other agglomerates. It also includes wood chips to be used for fuel that are made directly (i.e. in the forest) from roundwood. 
It excludes wood charcoal, pellets and other agglomerates." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.91" , "011.9" , "Tops, small branches and twigs" ,   ,   ,   ,   ,   ,   , "It includes wood from other parts than main stem and branches where these are harvested for fuel, e.g. tops, small branches and twigs, stumps and roots, bark separated in the forest from wood in the rough." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.91" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.911" , "011.91" , "Tops, small branches and twigs, coniferous" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.911" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9111" , "011.911" , "Tops, small branches and twigs, coniferous, for pellets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9111" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9119" , "011.911" , "Tops, small branches and twigs, coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9119" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.912" , "011.91" , "Tops, small branches and twigs, tropical non-coniferous" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.912" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9121" , "011.912" , "Tops, small branches and twigs, tropical non-coniferous, for pellets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9121" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9129" , "011.912" , "Tops, small branches and twigs, tropical non-coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9129" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.919" , "011.91" , "Other tops, small branches and twigs" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.919" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
