code,label,corr,partialCorr
1,Cereals,,1474
1.01,Wheat,,8373
1.02,Maize,,12332
1.03,Rice,,6599
1.04,Sorghum,,7244
1.05,Barley,,823
1.06,Rye,,14010
1.07,Oats,,5287
1.08,Millet,,
1.09,Triticale,,
1.1,Buckwheat,,9471
1.11,Fonio,,
1.12,Quinoa,,13716
1.13,Canary seed,,
1.14,Mixed cereals,,
1.9,"Other cereals, n.e.c.",,
2,Vegetables and melons,,
2.01,Leafy or stem vegetables,,
2.01.01,Artichokes,,
2.01.02,Asparagus,,669
2.01.03,Cabbages,,1173
2.01.04,Cauliflower and broccoli,,
2.01.05,Lettuce,,
2.01.06,Spinach,,14508
2.01.07,Chicory,,9786
2.01.90,"Other leafy or stem vegetables, n.e.c.",,
2.02,Fruit-bearing vegetables,,
2.02.01,Cucumbers,,10195
2.02.02,Eggplants (aubergines),,
2.02.03,Tomatoes,,7805
2.02.04,"Pumpkin, squash and gourds",,
2.02.05,Okra,,
2.02.90,"Other fruit-bearing vegetables, n.e.c.",,
2.03,"Root, bulb or tuberous vegetables",,
2.03.01,Carrots,,9640
2.03.02,Turnips,,8019
2.03.03,Garlic,,11091
2.03.04,Onions (incl. shallots),,
2.03.05,Leeks and other alliaceous vegetables,,
2.03.90,"Other root, bulb, or tuberous vegetables, n.e.c.",,
2.04,Mushrooms and truffles,,
2.05,Melons,,12487
2.05.01,Watermelons,,15277
2.05.02,Cantaloupes and other melons,,
2.9,Other vegetables n.e.c.,,
3,Fruit and nuts,,
3.01,Tropical and subtropical fruits,,
3.01.01,Avocados,,9022
3.01.02,Bananas,,806
3.01.03,Plantains,,5989
3.01.04,Dates,,25475
3.01.05,Figs,,10840
3.01.06,"Mangoes, guavas and mangosteens",,
3.01.07,Papayas,,13087
3.01.08,Pineapples,,13394
3.01.90,"Other tropical and subtropical fruits, n.e.c.",,
3.02,Citrus fruits,,1641
3.02.01,Grapefruit and pomelo,,
3.02.02,Lemons and limes,,
3.02.03,Oranges,,
3.02.04,"Tangerines mandarins, clementines",,
