"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"1","","Cereals","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1"
"1.01","1","Wheat","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-01"
"1.02","1","Maize","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-02"
"1.03","1","Rice","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-03"
"1.04","1","Sorghum","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-04"
"1.05","1","Barley","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-05"
"1.06","1","Rye","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-06"
"1.07","1","Oats","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-07"
"1.08","1","Millet","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-08"
"1.09","1","Triticale","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-09"
"1.1","1","Buckwheat","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-1"
"1.11","1","Fonio","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-11"
"1.12","1","Quinoa","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-12"
"1.13","1","Canary seed","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-13"
"1.14","1","Mixed cereals","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-14"
"1.9","1","Other cereals, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/1-9"
"2","","Vegetables and melons","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2"
"2.01","2","Leafy or stem vegetables","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01"
"2.01.01","2.01","Artichokes","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01-01"
"2.01.02","2.01","Asparagus","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01-02"
"2.01.03","2.01","Cabbages","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01-03"
"2.01.04","2.01","Cauliflower and broccoli","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01-04"
"2.01.05","2.01","Lettuce","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01-05"
"2.01.06","2.01","Spinach","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01-06"
"2.01.07","2.01","Chicory","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01-07"
"2.01.90","2.01","Other leafy or stem vegetables, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-01-90"
"2.02","2","Fruit-bearing vegetables","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-02"
"2.02.01","2.02","Cucumbers","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-02-01"
"2.02.02","2.02","Eggplants (aubergines)","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-02-02"
"2.02.03","2.02","Tomatoes","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-02-03"
"2.02.04","2.02","Pumpkin, squash and gourds","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-02-04"
"2.02.05","2.02","Okra","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-02-05"
"2.02.90","2.02","Other fruit-bearing vegetables, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-02-90"
"2.03","2","Root, bulb or tuberous vegetables","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-03"
"2.03.01","2.03","Carrots","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-03-01"
"2.03.02","2.03","Turnips","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-03-02"
"2.03.03","2.03","Garlic","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-03-03"
"2.03.04","2.03","Onions (incl. shallots)","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-03-04"
"2.03.05","2.03","Leeks and other alliaceous vegetables","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-03-05"
"2.03.90","2.03","Other root, bulb, or tuberous vegetables, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-03-90"
"2.04","2","Mushrooms and truffles","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-04"
"2.05","2","Melons","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-05"
"2.05.01","2.05","Watermelons","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-05-01"
"2.05.02","2.05","Cantaloupes and other melons","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-05-02"
"2.9","2","Other vegetables n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/2-9"
"3","","Fruit and nuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3"
"3.01","3","Tropical and subtropical fruits","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01"
"3.01.01","3.01","Avocados","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-01"
"3.01.02","3.01","Bananas","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-02"
"3.01.03","3.01","Plantains","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-03"
"3.01.04","3.01","Dates","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-04"
"3.01.05","3.01","Figs","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-05"
"3.01.06","3.01","Mangoes, guavas and mangosteens","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-06"
"3.01.07","3.01","Papayas","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-07"
"3.01.08","3.01","Pineapples","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-08"
"3.01.90","3.01","Other tropical and subtropical fruits, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-01-90"
"3.02","3","Citrus fruits","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-02"
"3.02.01","3.02","Grapefruit and pomelo","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-02-01"
"3.02.02","3.02","Lemons and limes","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-02-02"
"3.02.03","3.02","Oranges","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-02-03"
"3.02.04","3.02","Tangerines mandarins, clementines","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-02-04"
"3.02.90","3.02","Other citrus fruits, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-02-90"
"3.03","3","Grapes","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-03"
"3.04","3","Berries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04"
"3.04.01","3.04","Currants","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-01"
"3.04.02","3.04","Gooseberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-02"
"3.04.03","3.04","Kiwi fruit","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-03"
"3.04.04","3.04","Raspberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-04"
"3.04.05","3.04","Strawberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-05"
"3.04.06","3.04","Blueberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-06"
"3.04.07","3.04","Cranberries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-07"
"3.04.90","3.04","Other berries, n.e.c","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-04-90"
"3.05","3","Pome fruits and stone fruits","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05"
"3.05.01","3.05","Apples","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-01"
"3.05.02","3.05","Apricots","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-02"
"3.05.03","3.05","Cherries and sour cherries","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-03"
"3.05.04","3.05","Peaches and nectarines","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/3-05-04"
