"ICC11 code","ICC11 label","ICC10 code","If partial"
"1.01","Wheat","11","*"
"1.01","Wheat","192","*"
"1.02","Maize","12","*"
"1.03","Rice","13","*"
"1.04","Sorghum","14","*"
"1.05","Barley","15","*"
"1.06","Rye","16","*"
"1.07","Oats","17","*"
"1.08","Millet","18","*"
"1.09","Triticale","17","*"
"1.1","Buckwheat","192","*"
"1.11","Fonio","192","*"
"1.12","Quinoa","192","*"
"1.14","Mixed cereals","191","*"
"1.9","Other cereals, n.e.c.","192","*"
"2.01.01","Artichokes","211","*"
"2.01.02","Asparagus","212","*"
"2.01.03","Cabbages","213","*"
"2.01.04","Cauliflower and broccoli","214","*"
"2.01.05","Lettuce","215","*"
"2.01.06","Spinach","216","*"
"2.01.07","Chicory","217","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","219","*"
"2.02.01","Cucumbers","221","*"
"2.02.02","Eggplants (aubergines)","222","*"
"2.02.03","Tomatoes","223","*"
"2.02.04","Pumpkin, squash and gourds","226","*"
"2.02.05","Okra","229","*"
"2.02.90","Other fruit-bearing vegetables, n.e.c.","229","*"
"2.03.01","Carrots","231","*"
"2.03.02","Turnips","232","*"
"2.03.03","Garlic","233","*"
"2.03.04","Onions (incl. shallots)","234","*"
"2.03.05","Leeks and other alliaceous vegetables","235","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","239","*"
"2.04","Mushrooms and truffles","24","*"
"2.05.01","Watermelons","224","*"
"2.05.02","Cantaloupes and other melons","225","*"
"3.01.01","Avocados","311","*"
"3.01.02","Bananas","312","*"
"3.01.03","Plantains","312","*"
"3.01.04","Dates","313","*"
"3.01.05","Figs","314","*"
"3.01.06","Mangoes, guavas and mangosteens","315","*"
"3.01.06","Mangoes, guavas and mangosteens","319","*"
"3.01.07","Papayas","316","*"
"3.01.08","Pineapples","317","*"
"3.01.90","Other tropical and subtropical fruits, n.e.c.","319","*"
"3.02.01","Grapefruit and pomelo","321","*"
"3.02.02","Lemons and limes","322","*"
"3.02.03","Oranges","323","*"
"3.02.04","Tangerines mandarins, clementines","324","*"
"3.02.90","Other citrus fruits, n.e.c.","329","*"
"3.03","Grapes","33","*"
"3.04.01","Currants","341","*"
"3.04.02","Gooseberries","342","*"
"3.04.03","Kiwi fruit","343","*"
"3.04.04","Raspberries","344","*"
"3.04.05","Strawberries","345","*"
"3.04.06","Blueberries","346","*"
"3.04.07","Cranberries","349","*"
"3.04.90","Other berries, n.e.c","349","*"
"3.05.01","Apples","351","*"
"3.05.02","Apricots","352","*"
"3.05.03","Cherries and sour cherries","353","*"
"3.05.04","Peaches and nectarines","354","*"
"3.05.05","Pears and quinces","355","*"
"3.05.06","Plums and sloes","356","*"
"3.05.90","Other pome fruits and stone fruits, n.e.c.","359","*"
"3.06.01","Almonds","361","*"
"3.06.02","Cashew nuts","362","*"
"3.06.03","Chestnuts","363","*"
"3.06.04","Hazelnuts","364","*"
"3.06.05","Pistachios","365","*"
"3.06.06","Walnuts","366","*"
"3.06.07","Brazil nuts","369","*"
"3.06.08","Areca nuts","369","*"
"3.06.09","Cola nuts","369","*"
"3.06.90","Other nuts, n.e.c.","369","*"
"3.9","Other fruits, n.e.c.","39","*"
"4.01","Soya beans","41","*"
"4.02","Groundnuts","42","*"
"4.03.01","Castor bean","431","*"
"4.03.02","Linseed","432","*"
"4.03.03","Mustard","433","*"
"4.03.04","Niger seed","434","*"
"4.03.05","Rapeseed","435","*"
"4.03.06","Safflower","436","*"
"4.03.07","Sesame","437","*"
"4.03.08","Sunflower","438","*"
"4.03.09","Shea tree (shea butter or karite nuts)","449","*"
"4.03.10","Tung tree","449","*"
"4.03.11","Jojoba","449","*"
"4.03.12","Poppy","439","*"
"4.03.13","Tallow tree","449","*"
"4.03.90","Other temporary oilseed crops, n.e.c.","439","*"
"4.04.01","Coconuts","441","*"
"4.04.02","Olives","442","*"
"4.04.03","Oil palms","443","*"
"5.01","Potatoes","51","*"
"5.02","Sweet potatoes","52","*"
"5.03","Cassava","53","*"
"5.04","Yams","54","*"
"5.05","Taro","59","*"
"5.06","Yautia","59","*"
"5.9","Other roots and tubers, n.e.c.","59","*"
"6.01.01","Coffee","611","*"
"6.01.02","Tea","612","*"
"6.01.03","Maté","613","*"
"6.01.04","Cocoa","614","*"
"6.02.01.01","Chillies and peppers (capsicum spp.)","6211","*"
"6.02.01.02","Anise, badian, and fennel","6212","*"
"6.02.01.02","Anise, badian, and fennel","219","*"
"6.02.01.90","Other temporary spice crops, n.e.c.","6219","*"
"6.02.02.01","Pepper (piper spp.)","6211","*"
"6.02.02.01","Pepper (piper spp.)","6221","*"
"6.02.02.02","Nutmeg, mace, cardamoms","6222","*"
"6.02.02.03","Cinnamon (canella)","6223","*"
"6.02.02.04","Cloves","6224","*"
"6.02.02.05","Ginger","6225","*"
"6.02.02.06","Vanilla","6226","*"
"6.02.02.07","Hops","619","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","6229","*"
"7.01","Beans","71","*"
"7.02","Broad beans","72","*"
"7.03","Chickpeas","73","*"
"7.04","Cowpeas","74","*"
"7.05","Lentils","75","*"
"7.06","Lupins","76","*"
"7.07","Peas","77","*"
"7.08","Pigeon peas","78","*"
"7.09","Bambara beans","79","*"
"7.1","Vetches","79","*"
"7.9","Leguminous crops, n.e.c.","79","*"
"8.01","Sugar beet","81","*"
"8.02","Sugar cane","82","*"
"9.01.01","Temporary grass and fodder crops","911","*"
"9.02.01.01","Cotton","9211","*"
"9.02.01.02","Jute, kenaf, and other similar crops","9212","*"
"9.02.01.03","Flax","9213","*"
"9.02.01.03","Flax","922","*"
"9.02.01.04","Hemp","922","*"
"9.02.01.04","Hemp","9213","*"
"9.02.01.90","Other temporary fibre crops, n.e.c.","9219","*"
"9.02.02","Permanent fibre crops","922","*"
"9.02.02.01","Ramie","922","*"
"9.02.02.02","Sisal","922","*"
"9.02.02.90","Other permanent fibre crops, n.e.c.","922","*"
"9.02.02.90","Other permanent fibre crops, n.e.c.","992","*"
"9.03.01","Temporary medicinal, pesticidal or similar crops","931","*"
"9.03.01.01","Mint","6219","*"
"9.03.01.02","Basil","931","*"
"9.03.01.90","Other temporary medicinal, pesticidal or similar crops","931","*"
"9.03.02","Permanent medicinal, pesticidal or similar crops","932","*"
"9.03.02.01","Ginseng","932","*"
"9.03.02.02","Coca","932","*"
"9.03.02.03","Kava","932","*"
"9.03.02.04","Guarana","932","*"
"9.04","Rubber","94","*"
"9.05.01","Temporary flower crops","951","*"
"9.05.02","Permanent flower crops","952","*"
"9.06","Tobacco","96","*"
"9.90.01","Other crops, n.e.c. – temporary","991","*"
