authors,doi,C_product,T_product,T_product_simple,C_product_simple,out_subindicator,T_out_sample_size,C_out_mean,C_out_sd,T_out_mean,T_out_sd,T_out_cv,C_out_cv,has_sd,T_out_cv_average,C_out_cv_average,T_out_cv_filled,C_out_cv_filled,lnRR_all_cases,var_all_cases,lnRR_missing_cases,var_missing_cases
Masaka,10.1007/s40003-014-0147-1,Tomato,Tomato,Tomato,Tomato,Biomass Yield,4,2.9,NA,7.8,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Masaka,10.1007/s40003-014-0147-1,Tomato,Tomato,Tomato,Tomato,Biomass Yield,4,2.9,NA,9.6,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Masaka,10.1007/s40003-014-0147-1,Rape or Canola (Leaf),Rape or Canola (Leaf),Rape,Rape,Biomass Yield,4,9.9,NA,16.3,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Masaka,10.1007/s40003-014-0147-1,Rape or Canola (Leaf),Rape or Canola (Leaf),Rape,Rape,Biomass Yield,4,9.9,NA,18.9,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Masaka,10.1007/s40003-014-0147-1,Tomato,Tomato,Tomato,Tomato,Biomass Yield,4,2.9,NA,7.9,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Masaka,10.1007/s40003-014-0147-1,Tomato,Tomato,Tomato,Tomato,Biomass Yield,4,2.9,NA,9.7,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Masaka,10.1007/s40003-014-0147-1,Rape or Canola (Leaf),Rape or Canola (Leaf),Rape,Rape,Biomass Yield,4,14.8,NA,21.1,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Masaka,10.1007/s40003-014-0147-1,Rape or Canola (Leaf),Rape or Canola (Leaf),Rape,Rape,Biomass Yield,4,14.8,NA,25.1,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,329.3,NA,400.3,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.19716795997338749,0.01237279505346345,0.19716795997338749,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,329.3,NA,461.3,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.3390022845386343,0.01237279505346345,0.3390022845386343,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,329.3,NA,352.5,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.07000431622718277,0.01237279505346345,0.07000431622718277,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,329.3,NA,324.3,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.013377292711868247,0.01237279505346345,-0.013377292711868247,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,329.3,NA,389.2,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.1690470442867095,0.01237279505346345,0.1690470442867095,0.01237279505346345
