value,color,label
1,#e84f79,"Tropics, lowland; semi-arid, no soil/terrain limitations"
2,#f79fc0,"Tropics, lowland; semi-arid, with soil/terrain limitations"
3,#d81c4e,"Tropics, lowland; sub-humid, no soil/terrain limitations"
4,#f46476,"Tropics, lowland; sub-humid, with soil/terrain limitations"
5,#b00000,"Tropics, lowland; humid, no soil/terrain limitations"
6,#ff5959,"Tropics, lowland; humid, with soil/terrain limitations"
7,#ff09ff,"Tropics, highland; semi-arid, no soil/terrain limitations"
8,#ff9dff,"Tropics, highland; semi-arid, with soil/terrain limitations"
9,#c400c4,"Tropics, highland; sub-humid, no soil/terrain limitations"
10,#ff64ff,"Tropics, highland; sub-humid, with soil/terrain limitations"
11,#800080,"Tropics, highland; humid, no soil/terrain limitations"
12,#c923ac,"Tropics, highland; humid, with soil/terrain limitations"
13,#ec9f00,"Sub-tropics, warm; semi-arid, no soil/terrain limitations"
14,#f2d195,"Sub-tropics, warm; semi-arid, with soil/terrain limitations"
15,#cd8e1b,"Sub-tropics, warm; sub-humid, no soil/terrain limitations"
16,#ecbc64,"Sub-tropics, warm; sub-humid, with soil/terrain limitations"
17,#e67300,"Sub-tropics, warm; humid, no soil/terrain limitations"
18,#ffa953,"Sub-tropics, warm; humid, with soil/terrain limitations"
19,#fbfb00,"Sub-tropics, mod. cool; semi-arid, no soil/terrain limitations"
20,#ffff8a,"Sub-tropics, mod. cool; semi-arid, with soil/terrain limitations"
21,#ded701,"Sub-tropics, mod. cool; sub-humid, no soil/terrain limitations"
22,#fef881,"Sub-tropics, mod. cool; sub-humid, with soil/terrain limitations"
23,#b7b700,"Sub-tropics, mod. cool; humid, no soil/terrain limitations"
24,#d2c202,"Sub-tropics, mod. cool; humid, with soil/terrain limitations"
25,#80ff00,"Sub-tropics, cool; semi-arid, no soil/terrain limitations"
26,#caff95,"Sub-tropics, cool; semi-arid, with soil/terrain limitations"
27,#58b000,"Sub-tropics, cool; sub-humid, no soil/terrain limitations"
28,#6cd900,"Sub-tropics, cool; sub-humid, with soil/terrain limitations"
29,#336600,"Sub-tropics, cool; humid, no soil/terrain limitations"
30,#60bf00,"Sub-tropics, cool; humid, with soil/terrain limitations"
31,#80ff00,"Temperate, moderate; dry, no soil/terrain limitations"
32,#caff95,"Temperate, moderate; dry, with soil/terrain limitations"
33,#58b000,"Temperate, moderate; moist, no soil/terrain limitations"
34,#6cd900,"Temperate, moderate; moist, with soil/terrain limitations"
35,#336600,"Temperate, moderate; wet, no soil/terrain limitations"
36,#60bf00,"Temperate, moderate; wet, with soil/terrain limitations"
37,#72b8b8,"Temperate, cool; dry, no soil/terrain limitations"
38,#a9d3d3,"Temperate, cool; dry, with soil/terrain limitations"
39,#499494,"Temperate, cool; moist, no soil/terrain limitations"
40,#5eaeae,"Temperate, cool; moist, with soil/terrain limitations"
41,#2c5858,"Temperate, cool; wet, no soil/terrain limitations"
42,#408080,"Temperate, cool; wet, with soil/terrain limitations"
43,#53a9ff,"Cold, no permafrost; dry, no soil/terrain limitations"
44,#88c4ff,"Cold, no permafrost; dry, with soil/terrain limitations"
45,#0080ff,"Cold, no permafrost; moist, no soil/terrain limitations"
46,#409fff,"Cold, no permafrost; moist, with soil/terrain limitations"
47,#0053a6,"Cold, no permafrost; wet, no soil/terrain limitations"
48,#006cd9,"Cold, no permafrost; wet, with soil/terrain limitations"
49,#510000,Dominantly very steep terrain
50,#d8d8d8,Land with severe soil/terrain limitations
51,#0076ae,Ample irrigated soils
52,#00abfd,Dominantly hydromorphic soils
53,#f8e6c2,Desert/Arid climate
54,#c6c6fb,Boreal/Cold climate
55,#8c8cff,Arctic/Very cold climate
56,#e60000,Dominantly built-up land
57,#1c1cff,Dominantly water
