"ICC11 code","ICC11 label","CPC21AG code","If partial"
"1.02","Maize","01290.01","*"
"1.04","Sorghum","01919.01","*"
"1.07","Oats","01919.90","*"
"1.08","Millet","01919.01","*"
"1.14","Mixed cereals","01199.02","*"
"1.9","Other cereals, n.e.c.","01199.01","*"
"2.01.03","Cabbages","01919.90","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","01219.90","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","01290.90","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","01919.90","*"
"2.02.04","Pumpkin, squash and gourds","01919.90","*"
"2.02.05","Okra","01239.01","*"
"2.02.90","Other fruit-bearing vegetables, n.e.c.","01239.90","*"
"2.03.01","Carrots","01919.90","*"
"2.03.02","Turnips","01919.90","*"
"2.03.04","Onions (incl. shallots)","01253.01","*"
"2.03.04","Onions (incl. shallots)","01253.02","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","01219.90","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","01919.90","*"
"2.05.02","Cantaloupes and other melons","01449.01","*"
"3.01.02","Bananas","01312.01","*"
"3.01.02","Bananas","01312.02","*"
"3.01.03","Plantains","01313.01","*"
"3.01.03","Plantains","01313.02","*"
"3.01.06","Mangoes, guavas and mangosteens","01316.02","*"
"3.01.06","Mangoes, guavas and mangosteens","01316.03","*"
"3.01.06","Mangoes, guavas and mangosteens","01316.01","*"
"3.01.90","Other tropical and subtropical fruits, n.e.c.","01359.01","*"
"3.02.04","Tangerines mandarins, clementines","01324.01","*"
"3.02.04","Tangerines mandarins, clementines","01324.02","*"
"3.04.01","Currants","01351.01","*"
"3.04.02","Gooseberries","01351.02","*"
"3.04.04","Raspberries","01353.01","*"
"3.04.06","Blueberries","01355.01","*"
"3.04.07","Cranberries","01355.02","*"
"3.04.90","Other berries, n.e.c","01353.02","*"
"3.05.03","Cherries and sour cherries","01344.01","*"
"3.05.03","Cherries and sour cherries","01344.02","*"
"3.05.05","Pears and quinces","01342.02","*"
"3.05.05","Pears and quinces","01342.01","*"
"3.05.90","Other pome fruits and stone fruits, n.e.c.","01349.10","*"
"3.05.90","Other pome fruits and stone fruits, n.e.c.","01349.20","*"
"3.06.08","Areca nuts","01379.01","*"
"3.06.09","Cola nuts","01379.02","*"
"3.06.90","Other nuts, n.e.c.","01379.90","*"
"3.9","Other fruits, n.e.c.","01353.02","*"
"3.9","Other fruits, n.e.c.","01359.90","*"
"4.03.02","Linseed","01929.01","*"
"4.03.04","Niger seed","01449.90","*"
"4.03.08","Sunflower","01919.90","*"
"4.03.09","Shea tree (shea butter or karite nuts)","01499.01","*"
"4.03.10","Tung tree","01499.02","*"
"4.03.11","Jojoba","01499.03","*"
"4.03.13","Tallow tree","01499.04","*"
"4.03.90","Other temporary oilseed crops, n.e.c.","01449.02","*"
"4.04.03","Oil palms","01491.01","*"
"4.04.03","Oil palms","01491.02","*"
"5.03","Cassava","01219.01","*"
"5.03","Cassava","01520.01","*"
"5.03","Cassava","01520.02","*"
"6.01.02","Tea","01620.01","*"
"6.01.02","Tea","01620.02","*"
"6.01.02","Tea","01930.04","*"
"7.01","Beans","01241.01","*"
"7.01","Beans","01241.90","*"
"7.06","Lupins","01709.02","*"
"7.1","Vetches","01709.01","*"
"7.9","Leguminous crops, n.e.c.","01709.90","*"
"8.01","Sugar beet","01919.90","*"
"8.02","Sugar cane","01919.90","*"
"8.03","Sweet sorghum","01919.01","*"
"9.01.01","Temporary grass and fodder crops","01919.03","*"
"9.01.01","Temporary grass and fodder crops","01919.90","*"
"9.02.01.01","Cotton","01921.01","*"
"9.02.01.01","Cotton","01921.02","*"
"9.02.01.02","Jute, kenaf, and other similar crops","01922.01","*"
"9.02.01.02","Jute, kenaf, and other similar crops","01922.02","*"
"9.02.01.03","Flax","01929.01","*"
"9.02.01.03","Flax","01929.90","*"
"9.02.01.04","Hemp","01929.07","*"
"9.02.01.04","Hemp","01929.02","*"
"9.02.01.04","Hemp","01922.02","*"
"9.02.01.90","Other temporary fibre crops, n.e.c.","01929.90","*"
"9.02.02","Permanent fibre crops","01499.05","*"
"9.02.02","Permanent fibre crops","01929.03","*"
"9.02.02","Permanent fibre crops","01929.04","*"
"9.02.02","Permanent fibre crops","01929.06","*"
"9.02.02.01","Ramie","01929.04","*"
"9.02.02.02","Sisal","01929.05","*"
"9.02.02.90","Other permanent fibre crops, n.e.c.","01929.06","*"
"9.02.02.90","Other permanent fibre crops, n.e.c.","01930.90","*"
"9.03.01","Temporary medicinal, pesticidal or similar crops","01930.90","*"
"9.03.01.01","Mint","01930.01","*"
"9.03.01.02","Basil","01930.90","*"
"9.03.01.90","Other temporary medicinal, pesticidal or similar crops","01930.90","*"
"9.03.02","Permanent medicinal, pesticidal or similar crops","01930.90","*"
"9.03.02.01","Ginseng","01930.90","*"
"9.03.02.03","Kava","01930.90","*"
"9.03.02.04","Guarana","01930.90","*"
"9.04","Rubber","01950.01","*"
"9.04","Rubber","01950.02","*"
"9.05.02","Permanent flower crops","01930.90","*"
"9.90.01","Other crops, n.e.c. – temporary","01919.02","*"
"9.90.01","Other crops, n.e.c. – temporary","01919.90","*"
"9.90.01","Other crops, n.e.c. – temporary","01929.90","*"
"9.90.01","Other crops, n.e.c. – temporary","01930.02","*"
"9.90.01","Other crops, n.e.c. – temporary","01930.03","*"
"9.90.01","Other crops, n.e.c. – temporary","01930.90","*"
