"ICC11 code","ICC11 label","CPC21 code","If partial"
"1.01","Wheat","01111","*"
"1.01","Wheat","01112","*"
"1.02","Maize","01121","*"
"1.02","Maize","01122","*"
"1.02","Maize","01911","*"
"1.03","Rice","01131","*"
"1.03","Rice","01132","*"
"1.04","Sorghum","01142","*"
"1.04","Sorghum","01141","*"
"1.05","Barley","01151","*"
"1.05","Barley","01152","*"
"1.06","Rye","01161","*"
"1.06","Rye","01162","*"
"1.07","Oats","01171","*"
"1.07","Oats","01172","*"
"1.08","Millet","01182","*"
"1.08","Millet","01181","*"
"1.08","Millet","01142","*"
"1.08","Millet","01141","*"
"1.09","Triticale","01191","*"
"1.1","Buckwheat","01192","*"
"1.11","Fonio","01193","*"
"1.12","Quinoa","01194","*"
"2.01.01","Artichokes","01216","*"
"2.01.01","Artichokes","01599","*"
"2.01.02","Asparagus","01211","*"
"2.01.03","Cabbages","01212","*"
"2.01.04","Cauliflower and broccoli","01213","*"
"2.01.05","Lettuce","01214","*"
"2.01.06","Spinach","01215","*"
"2.01.07","Chicory","01214","*"
"2.01.07","Chicory","01691","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","01212","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","01214","*"
"2.02.01","Cucumbers","01232","*"
"2.02.02","Eggplants (aubergines)","01233","*"
"2.02.03","Tomatoes","01234","*"
"2.02.04","Pumpkin, squash and gourds","01235","*"
"2.03.01","Carrots","01251","*"
"2.03.02","Turnips","01251","*"
"2.03.03","Garlic","01252","*"
"2.03.05","Leeks and other alliaceous vegetables","01254","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","01259","*"
"2.04","Mushrooms and truffles","01270","*"
"2.05.01","Watermelons","01221","*"
"2.05.02","Cantaloupes and other melons","01229","*"
"3.01.01","Avocados","01311","*"
"3.01.04","Dates","01314","*"
"3.01.05","Figs","01315","*"
"3.01.07","Papayas","01317","*"
"3.01.08","Pineapples","01318","*"
"3.01.90","Other tropical and subtropical fruits, n.e.c.","01319","*"
"3.02.01","Grapefruit and pomelo","01321","*"
"3.02.02","Lemons and limes","01322","*"
"3.02.03","Oranges","01323","*"
"3.02.90","Other citrus fruits, n.e.c.","01329","*"
"3.03","Grapes","01330","*"
"3.04.03","Kiwi fruit","01352","*"
"3.04.05","Strawberries","01354","*"
"3.05.01","Apples","01341","*"
"3.05.02","Apricots","01343","*"
"3.05.04","Peaches and nectarines","01345","*"
"3.05.06","Plums and sloes","01346","*"
"3.06.01","Almonds","01371","*"
"3.06.02","Cashew nuts","01372","*"
"3.06.03","Chestnuts","01373","*"
"3.06.04","Hazelnuts","01374","*"
"3.06.05","Pistachios","01375","*"
"3.06.06","Walnuts","01376","*"
"3.06.07","Brazil nuts","01377","*"
"3.9","Other fruits, n.e.c.","01319","*"
"3.9","Other fruits, n.e.c.","01356","*"
"4.01","Soya beans","01411","*"
"4.01","Soya beans","01412","*"
"4.02","Groundnuts","01421","*"
"4.02","Groundnuts","01422","*"
"4.03.01","Castor bean","01447","*"
"4.03.02","Linseed","01441","*"
"4.03.03","Mustard","01442","*"
"4.03.05","Rapeseed","01443","*"
"4.03.06","Safflower","01446","*"
"4.03.07","Sesame","01444","*"
"4.03.08","Sunflower","01445","*"
"4.03.12","Poppy","01448","*"
"4.04.01","Coconuts","01460","*"
"4.04.02","Olives","01450","*"
"5.01","Potatoes","01510","*"
"5.02","Sweet potatoes","01530","*"
"5.04","Yams","01540","*"
"5.05","Taro","01550","*"
"5.06","Yautia","01591","*"
"5.9","Other roots and tubers, n.e.c.","01591","*"
"5.9","Other roots and tubers, n.e.c.","01599","*"
"6.01.01","Coffee","01610","*"
"6.01.03","Maté","01630","*"
"6.01.04","Cocoa","01640","*"
"6.02.01.01","Chillies and peppers (capsicum spp.)","01231","*"
"6.02.01.01","Chillies and peppers (capsicum spp.)","01652","*"
"6.02.01.02","Anise, badian, and fennel","01654","*"
"6.02.01.90","Other temporary spice crops, n.e.c.","01654","*"
"6.02.02.01","Pepper (piper spp.)","01231","*"
"6.02.02.01","Pepper (piper spp.)","01651","*"
"6.02.02.01","Pepper (piper spp.)","01652","*"
"6.02.02.02","Nutmeg, mace, cardamoms","01653","*"
"6.02.02.03","Cinnamon (canella)","01655","*"
"6.02.02.04","Cloves","01656","*"
"6.02.02.05","Ginger","01657","*"
"6.02.02.06","Vanilla","01658","*"
"6.02.02.07","Hops","01659","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","01653","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","01699","*"
"7.01","Beans","01701","*"
"7.02","Broad beans","01702","*"
"7.02","Broad beans","01243","*"
"7.03","Chickpeas","01703","*"
"7.04","Cowpeas","01706","*"
"7.05","Lentils","01704","*"
"7.07","Peas","01242","*"
"7.07","Peas","01705","*"
"7.08","Pigeon peas","01707","*"
"7.09","Bambara beans","01708","*"
"7.9","Leguminous crops, n.e.c.","01699","*"
"7.9","Leguminous crops, n.e.c.","01249","*"
"8.01","Sugar beet","01259","*"
"8.01","Sugar beet","01801","*"
"8.01","Sugar beet","01803","*"
"8.02","Sugar cane","01802","*"
"9.01.01","Temporary grass and fodder crops","01912","*"
"9.02.01.01","Cotton","01431","*"
"9.02.01.01","Cotton","01432","*"
"9.02.02.90","Other permanent fibre crops, n.e.c.","01699","*"
"9.03.01","Temporary medicinal, pesticidal or similar crops","01448","*"
"9.03.01.90","Other temporary medicinal, pesticidal or similar crops","03249","*"
"9.03.02.02","Coca","01990","*"
"9.05.01","Temporary flower crops","01961","*"
"9.05.01","Temporary flower crops","01962","*"
"9.05.02","Permanent flower crops","01962","*"
"9.06","Tobacco","01970","*"
"9.90.01","Other crops, n.e.c. – temporary","01990","*"
