"ICC11 code","ICC11 label","WCACROPS code","If partial"
"1.01","Wheat","281","*"
"1.01","Wheat","323","*"
"1.01","Wheat","97","*"
"1.02","Maize","81","*"
"1.02","Maize","80","*"
"1.02","Maize","79","*"
"1.02","Maize","176","*"
"1.02","Maize","296","*"
"1.02","Maize","174","*"
"1.02","Maize","173","*"
"1.02","Maize","142","*"
"1.02","Maize","175","*"
"1.03","Rice","256","*"
"1.04","Sorghum","275","*"
"1.04","Sorghum","39","*"
"1.04","Sorghum","276","*"
"1.04","Sorghum","274","*"
"1.04","Sorghum","96","*"
"1.04","Sorghum","272","*"
"1.04","Sorghum","147","*"
"1.04","Sorghum","130","*"
"1.04","Sorghum","273","*"
"1.05","Barley","18","*"
"1.06","Rye","260","*"
"1.07","Oats","202","*"
"1.07","Oats","203","*"
"1.08","Millet","38","*"
"1.08","Millet","192","*"
"1.08","Millet","191","*"
"1.08","Millet","190","*"
"1.08","Millet","189","*"
"1.08","Millet","188","*"
"1.08","Millet","186","*"
"1.08","Millet","185","*"
"1.08","Millet","15","*"
"1.08","Millet","187","*"
"1.09","Triticale","313","*"
"1.1","Buckwheat","41","*"
"1.11","Fonio","109","*"
"1.12","Quinoa","247","*"
"1.14","Mixed cereals","182","*"
"1.9","Other cereals, n.e.c.","307","*"
"2.01.01","Artichokes","145","*"
"2.01.01","Artichokes","12","*"
"2.01.02","Asparagus","13","*"
"2.01.03","Cabbages","42","*"
"2.01.03","Cabbages","43","*"
"2.01.03","Cabbages","44","*"
"2.01.04","Cauliflower and broccoli","37","*"
"2.01.04","Cauliflower and broccoli","56","*"
"2.01.05","Lettuce","162","*"
"2.01.06","Spinach","282","*"
"2.01.07","Chicory","63","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","88","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","82","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","58","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","49","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","149","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","255","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","101","*"
"2.01.90","Other leafy or stem vegetables, n.e.c.","40","*"
"2.02.01","Cucumbers","89","*"
"2.02.02","Eggplants (aubergines)","100","*"
"2.02.03","Tomatoes","311","*"
"2.02.04","Pumpkin, squash and gourds","283","*"
"2.02.04","Pumpkin, squash and gourds","242","*"
"2.02.04","Pumpkin, squash and gourds","117","*"
"2.02.04","Pumpkin, squash and gourds","241","*"
"2.02.05","Okra","205","*"
"2.02.90","Other fruit-bearing vegetables, n.e.c.","59","*"
"2.03.01","Carrots","51","*"
"2.03.01","Carrots","52","*"
"2.03.02","Turnips","316","*"
"2.03.02","Turnips","317","*"
"2.03.03","Garlic","112","*"
"2.03.03","Garlic","111","*"
"2.03.04","Onions (incl. shallots)","207","*"
"2.03.04","Onions (incl. shallots)","208","*"
"2.03.04","Onions (incl. shallots)","209","*"
"2.03.05","Leeks and other alliaceous vegetables","157","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","294","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","268","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","57","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","295","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","265","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","154","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","248","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","141","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","259","*"
"2.03.90","Other root, bulb, or tuberous vegetables, n.e.c.","219","*"
"2.04","Mushrooms and truffles","196","*"
"2.05.01","Watermelons","322","*"
"2.05.02","Cantaloupes and other melons","184","*"
"2.05.02","Cantaloupes and other melons","46","*"
"3.01.01","Avocados","14","*"
"3.01.02","Bananas","17","*"
"3.01.03","Plantains","232","*"
"3.01.04","Dates","93","*"
"3.01.05","Figs","104","*"
"3.01.06","Mangoes, guavas and mangosteens","129","*"
"3.01.06","Mangoes, guavas and mangosteens","179","*"
"3.01.06","Mangoes, guavas and mangosteens","180","*"
"3.01.07","Papayas","218","*"
"3.01.08","Pineapples","230","*"
"3.01.90","Other tropical and subtropical fruits, n.e.c.","91","*"
"3.01.90","Other tropical and subtropical fruits, n.e.c.","34","*"
"3.01.90","Other tropical and subtropical fruits, n.e.c.","228","*"
"3.01.90","Other tropical and subtropical fruits, n.e.c.","167","*"
"3.02.01","Grapefruit and pomelo","120","*"
"3.02.01","Grapefruit and pomelo","235","*"
"3.02.02","Lemons and limes","158","*"
"3.02.02","Lemons and limes","163","*"
"3.02.02","Lemons and limes","164","*"
"3.02.02","Lemons and limes","297","*"
"3.02.03","Oranges","211","*"
"3.02.03","Oranges","212","*"
"3.02.04","Tangerines mandarins, clementines","177","*"
"3.02.04","Tangerines mandarins, clementines","267","*"
"3.02.04","Tangerines mandarins, clementines","302","*"
"3.02.04","Tangerines mandarins, clementines","69","*"
"3.02.90","Other citrus fruits, n.e.c.","67","*"
"3.02.90","Other citrus fruits, n.e.c.","28","*"
"3.03","Grapes","123","*"
"3.03","Grapes","122","*"
"3.03","Grapes","119","*"
"3.03","Grapes","121","*"
"3.04.01","Currants","90","*"
"3.04.02","Gooseberries","116","*"
"3.04.03","Kiwi fruit","153","*"
"3.04.04","Raspberries","251","*"
"3.04.05","Strawberries","284","*"
"3.04.06","Blueberries","32","*"
"3.04.07","Cranberries","87","*"
"3.04.90","Other berries, n.e.c","31","*"
"3.05.01","Apples","7","*"
"3.05.02","Apricots","8","*"
"3.05.03","Cherries and sour cherries","278","*"
"3.05.03","Cherries and sour cherries","60","*"
"3.05.04","Peaches and nectarines","198","*"
"3.05.04","Peaches and nectarines","222","*"
"3.05.05","Pears and quinces","224","*"
"3.05.05","Pears and quinces","245","*"
"3.05.06","Plums and sloes","240","*"
"3.05.06","Plums and sloes","233","*"
"3.05.90","Other pome fruits and stone fruits, n.e.c.","168","*"
"3.05.90","Other pome fruits and stone fruits, n.e.c.","183","*"
"3.06.01","Almonds","4","*"
"3.06.02","Cashew nuts","53","*"
"3.06.03","Chestnuts","61","*"
"3.06.04","Hazelnuts","105","*"
"3.06.04","Hazelnuts","132","*"
"3.06.05","Pistachios","231","*"
"3.06.06","Walnuts","321","*"
"3.06.07","Brazil nuts","33","*"
"3.06.08","Areca nuts","29","*"
"3.06.08","Areca nuts","9","*"
"3.06.09","Cola nuts","155","*"
"3.06.09","Cola nuts","77","*"
"3.06.90","Other nuts, n.e.c.","170","*"
"3.06.90","Other nuts, n.e.c.","225","*"
"3.06.90","Other nuts, n.e.c.","244","*"
"3.9","Other fruits, n.e.c.","50","*"
"3.9","Other fruits, n.e.c.","266","*"
"3.9","Other fruits, n.e.c.","194","*"
"3.9","Other fruits, n.e.c.","195","*"
"3.9","Other fruits, n.e.c.","234","*"
"4.01","Soya beans","279","*"
"4.01","Soya beans","280","*"
"4.02","Groundnuts","127","*"
"4.02","Groundnuts","223","*"
"4.03.01","Castor bean","55","*"
"4.03.02","Linseed","165","*"
"4.03.03","Mustard","197","*"
"4.03.04","Niger seed","200","*"
"4.03.05","Rapeseed","78","*"
"4.03.05","Rapeseed","250","*"
"4.03.06","Safflower","262","*"
"4.03.07","Sesame","269","*"
"4.03.08","Sunflower","291","*"
"4.03.08","Sunflower","292","*"
"4.03.09","Shea tree (shea butter or karite nuts)","270","*"
"4.03.10","Tung tree","314","*"
"4.03.11","Jojoba","146","*"
"4.03.12","Poppy","236","*"
"4.03.13","Tallow tree","301","*"
"4.03.90","Other temporary oilseed crops, n.e.c.","136","*"
"4.04.01","Coconuts","74","*"
"4.04.02","Olives","206","*"
"4.04.03","Oil palms","204","*"
"4.04.03","Oil palms","215","*"
"4.04.03","Oil palms","216","*"
"5.01","Potatoes","238","*"
"5.02","Sweet potatoes","299","*"
"5.02","Sweet potatoes","239","*"
"5.03","Cassava","181","*"
"5.03","Cassava","304","*"
"5.03","Cassava","54","*"
"5.04","Yams","324","*"
"5.05","Taro","305","*"
"5.06","Yautia","325","*"
"5.9","Other roots and tubers, n.e.c.","99","*"
"5.9","Other roots and tubers, n.e.c.","303","*"
"5.9","Other roots and tubers, n.e.c.","92","*"
"5.9","Other roots and tubers, n.e.c.","75","*"
"5.9","Other roots and tubers, n.e.c.","11","*"
"5.9","Other roots and tubers, n.e.c.","10","*"
"6.01.01","Coffee","76","*"
"6.01.02","Tea","306","*"
"6.01.03","Maté","326","*"
"6.01.04","Cocoa","45","*"
"6.01.04","Cocoa","73","*"
"6.02.01.01","Chillies and peppers (capsicum spp.)","65","*"
"6.02.01.01","Chillies and peppers (capsicum spp.)","64","*"
"6.02.01.01","Chillies and peppers (capsicum spp.)","227","*"
"6.02.01.02","Anise, badian, and fennel","102","*"
"6.02.01.02","Anise, badian, and fennel","6","*"
"6.02.01.90","Other temporary spice crops, n.e.c.","47","*"
"6.02.02.01","Pepper (piper spp.)","226","*"
"6.02.02.01","Pepper (piper spp.)","298","*"
"6.02.02.01","Pepper (piper spp.)","30","*"
"6.02.02.02","Nutmeg, mace, cardamoms","171","*"
"6.02.02.02","Nutmeg, mace, cardamoms","201","*"
"6.02.02.02","Nutmeg, mace, cardamoms","48","*"
"6.02.02.03","Cinnamon (canella)","66","*"
"6.02.02.04","Cloves","70","*"
"6.02.02.05","Ginger","114","*"
"6.02.02.06","Vanilla","319","*"
"6.02.02.07","Hops","139","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","95","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","94","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","315","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","5","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","263","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","19","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","131","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","308","*"
"7.01","Beans","21","*"
"7.01","Beans","22","*"
"7.02","Broad beans","140","*"
"7.02","Broad beans","35","*"
"7.02","Broad beans","36","*"
"7.03","Chickpeas","118","*"
"7.03","Chickpeas","62","*"
"7.04","Cowpeas","86","*"
"7.04","Cowpeas","85","*"
"7.05","Lentils","160","*"
"7.06","Lupins","169","*"
"7.07","Peas","220","*"
"7.07","Peas","221","*"
"7.08","Pigeon peas","229","*"
"7.09","Bambara beans","16","*"
"7.1","Vetches","320","*"
"7.9","Leguminous crops, n.e.c.","103","*"
"7.9","Leguminous crops, n.e.c.","98","*"
"8.01","Sugar beet","286","*"
"8.01","Sugar beet","285","*"
"8.01","Sugar beet","27","*"
"8.01","Sugar beet","26","*"
